              x	              y	              z	           time	in	          pH	          Ca	          Mg	          Na	          Cl	        C(4)	         SO4	          As	
          24000	          36000	            200	          12000	 1	     6.08532	  1.2353e+03	  4.7570e+02	  1.4247e+04	  2.3792e+04	  1.6914e+03	  6.6110e+01	  1.4977e-01	
          30000	          36000	            200	          12000	 1	     7.33848	  2.8177e+01	  1.2294e+01	  1.1636e+03	  1.1316e+03	  8.7645e+02	  2.4629e+01	  3.9919e-01	
          36000	          36000	            200	          12000	 1	     7.65658	  1.2121e+01	  5.3022e+00	  7.4417e+02	  5.0277e+02	  8.2037e+02	  2.3478e+01	  1.1549e+00	
          42000	          36000	            200	          12000	 1	     7.86733	  7.3054e+00	  3.1895e+00	  5.7122e+02	  2.7709e+02	  7.7295e+02	  2.3065e+01	  2.5254e+00	
          48000	          36000	            200	          12000	 1	      8.1485	  4.0945e+00	  1.7758e+00	  4.0075e+02	  1.2695e+02	  6.6789e+02	  2.2790e+01	  7.6058e+00	
          54000	          36000	            200	          12000	 1	     8.55351	  1.8879e+00	  7.9932e-01	  2.4698e+02	  1.7870e+01	  5.5220e+02	  2.2591e+01	  3.9885e+01	
          60000	          36000	            200	          12000	 1	     8.57127	  1.8304e+00	  7.7385e-01	  2.4064e+02	  1.4338e+01	  5.4668e+02	  2.2584e+01	  4.2921e+01	
          66000	          36000	            200	          12000	 1	     8.59672	  1.7498e+00	  7.3805e-01	  2.3371e+02	  1.0698e+01	  5.4041e+02	  2.2578e+01	  4.7713e+01	
          72000	          36000	            200	          12000	 1	     8.61284	  1.7005e+00	  7.1615e-01	  2.2964e+02	  8.5259e+00	  5.3677e+02	  2.2574e+01	  5.1025e+01	
          78000	          36000	            200	          12000	 1	     8.61455	  1.6924e+00	  7.1250e-01	  2.3069e+02	  8.5305e+00	  5.3813e+02	  2.2574e+01	  5.1409e+01	
          84000	          36000	            200	          12000	 1	     8.61391	  1.6936e+00	  7.1306e-01	  2.3110e+02	  8.5933e+00	  5.3862e+02	  2.2574e+01	  5.1275e+01	
          90000	          36000	            200	          12000	 1	     8.61404	  1.6933e+00	  7.1291e-01	  2.3104e+02	  8.5702e+00	  5.3856e+02	  2.2574e+01	  5.1302e+01	
              0	          42000	            200	          12000	 1	     5.69819	  1.7958e+04	  3.8369e+03	  1.2067e+05	  2.2848e+05	  2.5722e+02	  4.4084e+02	  7.8946e-01	
           6000	          42000	            200	          12000	 1	     5.63383	  1.5786e+04	  3.5731e+03	  1.0910e+05	  2.0598e+05	  3.3631e+02	  3.9966e+02	  9.8151e-01	
          12000	          42000	            200	          12000	 1	     5.50373	  1.1335e+04	  2.9137e+03	  8.3648e+04	  1.5661e+05	  7.1992e+02	  3.0926e+02	  1.3994e+00	
          18000	          42000	            200	          12000	 1	     5.55673	  6.6191e+03	  1.9929e+03	  5.3765e+04	  9.8814e+04	  1.4236e+03	  2.0346e+02	  1.0267e+00	
          24000	          42000	            200	          12000	 1	     5.81531	  2.8310e+03	  9.9773e+02	  2.7155e+04	  4.7801e+04	  1.8505e+03	  1.1006e+02	  3.3908e-01	
          30000	          42000	            200	          12000	 1	     7.21622	  3.8739e+01	  1.6855e+01	  1.4027e+03	  1.4774e+03	  9.2292e+02	  2.5262e+01	  2.7876e-01	
          36000	          42000	            200	          12000	 1	       7.593	  1.3986e+01	  6.1175e+00	  8.0739e+02	  5.7437e+02	  8.4737e+02	  2.3609e+01	  9.1991e-01	
          42000	          42000	            200	          12000	 1	     7.83239	  7.8420e+00	  3.4251e+00	  5.9610e+02	  2.9754e+02	  7.8972e+02	  2.3103e+01	  2.2096e+00	
          48000	          42000	            200	          12000	 1	     8.15013	  4.0831e+00	  1.7708e+00	  3.9898e+02	  1.2566e+02	  6.6661e+02	  2.2788e+01	  7.6534e+00	
          54000	          42000	            200	          12000	 1	     8.54078	  1.9381e+00	  8.2167e-01	  2.4738e+02	  1.9010e+01	  5.5187e+02	  2.2593e+01	  3.7798e+01	
          60000	          42000	            200	          12000	 1	     8.57513	  1.8197e+00	  7.6912e-01	  2.3822e+02	  1.3104e+01	  5.4450e+02	  2.2582e+01	  4.3600e+01	
          66000	          42000	            200	          12000	 1	      8.5993	  1.7430e+00	  7.3507e-01	  2.3211e+02	  9.8928e+00	  5.3897e+02	  2.2576e+01	  4.8215e+01	
          72000	          42000	            200	          12000	 1	     8.60998	  1.7104e+00	  7.2059e-01	  2.2940e+02	  8.4850e+00	  5.3651e+02	  2.2574e+01	  5.0409e+01	
