              x	              y	              z	           time	in	                 pH	                 Ca	                 Mg	                 Na	                 Cl	               C(4)	                SO4	                 As	
          66000	          24000	            200	          12000	 1	   8.5963649392e+00	   1.7348858215e+00	   7.3268163089e-01	   2.3982818588e+02	   1.3099469979e+01	   5.4846547107e+02	   2.2582274530e+01	   9.0603958344e+01	
          72000	          24000	            200	          12000	 1	   8.6206053669e+00	   1.6641893975e+00	   7.0125394346e-01	   2.3281837120e+02	   9.8974696997e+00	   5.4174375183e+02	   2.2576413516e+01	   1.0017404820e+02	
          78000	          24000	            200	          12000	 1	   8.6330184686e+00	   1.6322956018e+00	   6.8710786299e-01	   2.2787746519e+02	   8.1813222595e+00	   5.3658708916e+02	   2.2573272212e+01	   1.0542892746e+02	
          84000	          24000	            200	          12000	 1	   8.6378917693e+00	   1.6199601773e+00	   6.8163643802e-01	   2.2592504628e+02	   7.4792078568e+00	   5.3457078282e+02	   2.2571987019e+01	   1.0756618013e+02	
          90000	          24000	            200	          12000	 1	   8.6381826834e+00	   1.6200593238e+00	   6.8169255992e-01	   2.2532310285e+02	   7.3134402299e+00	   5.3391574842e+02	   2.2571683554e+01	   1.0768372419e+02	
              0	          30000	            200	          12000	 1	   5.8393572227e+00	   1.6710162332e+04	   3.7218795712e+03	   1.1440245507e+05	   2.1626140164e+05	   2.8324862205e+02	   4.1848462344e+02	   8.8663384296e-01	
           6000	          30000	            200	          12000	 1	   5.6758124142e+00	   1.2034720456e+04	   3.0752403421e+03	   8.8501545638e+04	   1.6600362961e+05	   5.2375549922e+02	   3.2647351664e+02	   1.4159645327e+00	
          12000	          30000	            200	          12000	 1	   5.6615231575e+00	   5.7555743710e+03	   1.8217525473e+03	   4.8617296811e+04	   8.9008427425e+04	   1.3072265024e+03	   1.8550986082e+02	   1.1799163368e+00	
          18000	          30000	            200	          12000	 1	   5.9932683081e+00	   1.8343274122e+03	   6.8705649162e+02	   1.9535617513e+04	   3.3700680403e+04	   1.6064606576e+03	   8.4252239703e+01	   3.4097169825e-01	
          24000	          30000	            200	          12000	 1	   6.4977134942e+00	   3.4452536869e+02	   1.4312461042e+02	   5.7850557651e+03	   8.7247480748e+03	   1.2708377024e+03	   3.8528935056e+01	   1.6828995668e-01	
          30000	          30000	            200	          12000	 1	   7.3421894477e+00	   2.9160154089e+01	   1.2737619302e+01	   1.2078777370e+03	   1.2367629384e+03	   8.4915876728e+02	   2.4822143399e+01	   7.7023597811e-01	
          36000	          30000	            200	          12000	 1	   7.7695208102e+00	   9.4504905916e+00	   4.1373591446e+00	   6.7660673822e+02	   4.3445285496e+02	   7.8472028689e+02	   2.3353543703e+01	   3.3536978766e+00	
          42000	          30000	            200	          12000	 1	   7.9658568317e+00	   5.9334345106e+00	   2.5893869129e+00	   5.3182790880e+02	   2.4682016945e+02	   7.4524704047e+02	   2.3010088392e+01	   7.0883669058e+00	
          48000	          30000	            200	          12000	 1	   8.1939538345e+00	   3.7122798302e+00	   1.6091617985e+00	   3.9822227813e+02	   1.2687560817e+02	   6.6563528862e+02	   2.2790539808e+01	   1.7481718901e+01	
          54000	          30000	            200	          12000	 1	   8.5493206524e+00	   1.8887235528e+00	   8.0103923565e-01	   2.5526286915e+02	   2.3441506601e+01	   5.6042328337e+02	   2.2601206196e+01	   7.4606617943e+01	
          60000	          30000	            200	          12000	 1	   8.5778867205e+00	   1.7944610790e+00	   7.5916648677e-01	   2.4553715880e+02	   1.7203659322e+01	   5.5265508752e+02	   2.2589787528e+01	   8.3939723273e+01	
          66000	          30000	            200	          12000	 1	   8.6207664707e+00	   1.6613585343e+00	   6.9994976852e-01	   2.3492768287e+02	   1.1021907037e+01	   5.4356395999e+02	   2.2578472109e+01	   1.0028925396e+02	
          72000	          30000	            200	          12000	 1	   8.6405060191e+00	   1.6062477247e+00	   6.7545084471e-01	   2.2902940675e+02	   8.1148014630e+00	   5.3810312059e+02	   2.2573150716e+01	   1.0882822084e+02	
          78000	          30000	            200	          12000	 1	   8.6417770171e+00	   1.6040740385e+00	   6.7450112109e-01	   2.2793845932e+02	   7.7908369995e+00	   5.3693001846e+02	   2.2572557674e+01	   1.0938539477e+02	
          84000	          30000	            200	          12000	 1	   8.6435522244e+00	   1.5991925270e+00	   6.7232916894e-01	   2.2750223797e+02	   7.6034356712e+00	   5.3650022560e+02	   2.2572214660e+01	   1.1019449966e+02	
          90000	          30000	            200	          12000	 1	   8.6438566331e+00	   1.5987434524e+00	   6.7213425543e-01	   2.2721030230e+02	   7.5254657632e+00	   5.3617913656e+02	   2.2572071930e+01	   1.1032874788e+02	
              0	          36000	            200	          12000	 1	   5.8583753439e+00	   1.7350515448e+04	   3.7968935526e+03	   1.1777705642e+05	   2.2282055020e+05	   2.6663225929e+02	   4.3049297594e+02	   8.3005269378e-01	
           6000	          36000	            200	          12000	 1	   5.7471343720e+00	   1.3834951516e+04	   3.3449206771e+03	   9.8867331779e+04	   1.8606458347e+05	   3.9229179471e+02	   3.6320086522e+02	   1.1806941586e+00	
          12000	          36000	            200	          12000	 1	   5.6071235571e+00	   8.0897578871e+03	   2.3528042723e+03	   6.4424504632e+04	   1.1936483263e+05	   9.8463588209e+02	   2.4108701197e+02	   1.5551561146e+00	
          18000	          36000	            200	          12000	 1	   5.7820024286e+00	   3.5639606758e+03	   1.2300682917e+03	   3.3163560729e+04	   5.9296958690e+04	   1.6074266337e+03	   1.3111339540e+02	   6.9116059497e-01	
          24000	          36000	            200	          12000	 1	   6.1497059499e+00	   1.0320245683e+03	   4.0491666732e+02	   1.2866819868e+04	   2.1200861317e+04	   1.6097837969e+03	   6.1368096510e+01	   2.2762908469e-01	
          30000	          36000	            200	          12000	 1	   7.4407684049e+00	   2.2229799221e+01	   9.7243400707e+00	   1.0560709401e+03	   9.9731353669e+02	   8.3616417076e+02	   2.4383843405e+01	   1.0571132778e+00	
          36000	          36000	            200	          12000	 1	   7.7615111625e+00	   9.6571656108e+00	   4.2283779506e+00	   6.8136340295e+02	   4.4333911578e+02	   7.8391036772e+02	   2.3369809909e+01	   3.2535149449e+00	
          42000	          36000	            200	          12000	 1	   7.9678481268e+00	   5.9203384107e+00	   2.5837846759e+00	   5.2800901396e+02	   2.4463209263e+02	   7.4203514571e+02	   2.3006083274e+01	   7.1384835875e+00	
          48000	          36000	            200	          12000	 1	   8.2299424604e+00	   3.4636310075e+00	   1.4992689257e+00	   3.7873826949e+02	   1.1241022276e+02	   6.5161384133e+02	   2.2764061718e+01	   2.0198000557e+01	
          54000	          36000	            200	          12000	 1	   8.5918002991e+00	   1.7458319250e+00	   7.3747105979e-01	   2.4484323376e+02	   1.6282002444e+01	   5.5240097423e+02	   2.2588100821e+01	   8.8983865120e+01	
          60000	          36000	            200	          12000	 1	   8.6069254173e+00	   1.7012634071e+00	   7.1768378913e-01	   2.3923599819e+02	   1.3178933364e+01	   5.4752287890e+02	   2.2582420508e+01	   9.4707999806e+01	
          66000	          36000	            200	          12000	 1	   8.6291997342e+00	   1.6363189738e+00	   6.8880214788e-01	   2.3314456617e+02	   9.9887713402e+00	   5.4202395062e+02	   2.2576581036e+01	   1.0386795816e+02	
          72000	          36000	            200	          12000	 1	   8.6436669877e+00	   1.5954221541e+00	   6.7060707117e-01	   2.2946818120e+02	   8.0474357627e+00	   5.3871441947e+02	   2.2573027505e+01	   1.1029377720e+02	
          78000	          36000	            200	          12000	 1	   8.6460123487e+00	   1.5863163897e+00	   6.6652352258e-01	   2.3030685745e+02	   8.0007032483e+00	   5.3984276016e+02	   2.2572942027e+01	   1.1140563020e+02	
          84000	          36000	            200	          12000	 1	   8.6456936829e+00	   1.5867265484e+00	   6.6670114601e-01	   2.3058885932e+02	   8.0317310238e+00	   5.4019104082e+02	   2.2572998814e+01	   1.1126310174e+02	
          90000	          36000	            200	          12000	 1	   8.6458928976e+00	   1.5862735476e+00	   6.6650073449e-01	   2.3048901266e+02	   7.9999853355e+00	   5.4008481022e+02	   2.2572940704e+01	   1.1135399223e+02	
              0	          42000	            200	          12000	 1	   5.8700957472e+00	   1.7818791042e+04	   3.8501678528e+03	   1.2021069216e+05	   2.2755732019e+05	   2.5678802097e+02	   4.3916495269e+02	   7.9397153211e-01	
           6000	          42000	            200	          12000	 1	   5.8054794496e+00	   1.5372318185e+04	   3.5531871312e+03	   1.0735907596e+05	   2.0253190481e+05	   3.1948252909e+02	   3.9334894725e+02	   9.9866925660e-01	
          12000	          42000	            200	          12000	 1	   5.6437593459e+00	   1.0578758705e+04	   2.8273463393e+03	   8.0187954415e+04	   1.4978323896e+05	   6.4440536008e+02	   2.9677734513e+02	   1.5218190765e+00	
          18000	          42000	            200	          12000	 1	   5.6419230137e+00	   5.9030421830e+03	   1.8558356165e+03	   5.0084635644e+04	   9.1584995897e+04	   1.3418224072e+03	   1.9022694777e+02	   1.2495221257e+00	
          24000	          42000	            200	          12000	 1	   5.8817938180e+00	   2.4239942600e+03	   8.8009749251e+02	   2.4742646620e+04	   4.3127478809e+04	   1.7666796350e+03	   1.0151001950e+02	   4.6037132515e-01	
          30000	          42000	            200	          12000	 1	   7.3162001488e+00	   3.0560767436e+01	   1.3339177012e+01	   1.2698476099e+03	   1.3017453283e+03	   8.7895757425e+02	   2.4941075494e+01	   7.1251483920e-01	
          36000	          42000	            200	          12000	 1	   7.6986837621e+00	   1.1109592096e+01	   4.8654749700e+00	   7.3763938376e+02	   5.0638054496e+02	   8.0799993261e+02	   2.3485196651e+01	   2.5786210933e+00	
