x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	[X5]	
1.1	0.8375	1	0.124863	1.68508	1.84826e-012	0.150348	0.00075937	5.8994e-013	3.12371e-012	0.088959	7.76759e-017	0.781397	0.120761	3.40587e-008	9.44289	8.45034e-005	0.278512	0.124863	5.09404	2.70656	1.29922	0.00075937	10	0	99.7381	0	0	3.75	0.375	36	1.01072	9.69988	-0.207897	0.882376	0.122638	2.73575	1.02528	0.000798754	
1.1	0.86875	1	0.113137	1.76318	1.80895e-012	0.13384	0.000835048	5.63808e-013	3.19897e-012	0.0756837	4.47414e-017	0.781732	0.178109	1.87842e-008	9.55657	9.58881e-005	0.221665	0.113137	5.93081	2.87962	1.21292	0.000835048	10	0	99.7146	0	0	3.75	0.375	37	1.00748	10.2517	-0.207898	0.940951	0.110923	2.90833	1.00068	0.000878924	
1.07344	0.875	1	0.205701	0.363642	1.28724e-011	0.132406	0.000278359	2.73372e-012	4.69483e-012	0.363034	1.70372e-013	0.504182	8.93628e-006	0.00561587	3.45721	2.16547e-006	3.2714	0.205701	-7.84168	1.51258	4.28225	0.000278359	10	0	99.9399	0	0	5	0.5	38	1.00321	5.67182	-0.207855	0.478458	0.203422	1.54537	0.972793	0.000290409	
1.08231	0.853125	1	0.197548	0.462292	9.08851e-012	0.153994	0.000353677	2.15036e-012	4.21401e-012	0.332125	7.24524e-014	0.539076	3.46797e-005	0.00111346	4.29193	3.89977e-006	2.85403	0.197548	-6.28417	1.61734	3.88145	0.000353677	10	0	99.9016	0	0	5	0.5	39	1.00676	6.01822	-0.207895	0.51785	0.195543	1.64546	0.979455	0.000370454	
1	0.7875	1	0.268633	0.203632	3.28524e-011	0.0304918	0.000118478	4.88183e-012	6.70962e-012	0.149297	5.40069e-014	0.189787	4.50385e-007	0.0308037	3.10015	8.70219e-007	3.44993	0.268633	-9.78272	0.569364	3.88111	0.000118478	10	0	99.9866	0	0	3.75	0.375	40	1.00062	1.97326	-0.207913	0.161376	0.266838	0.60006	0.427411	0.00012265	
1.05666	0.80625	1	0.277102	0.169549	3.83858e-011	0.026118	7.70498e-005	5.86317e-012	6.52758e-012	0.153589	8.25135e-014	0.124634	1.15053e-007	0.0978399	2.63019	4.97953e-007	3.68491	0.277102	-11.3229	0.373903	4.18493	7.70498e-005	10	18.0186	99.9878	0	0	5	0.5	41	1.00515	1.37309	-0.20791	0.114737	0.276166	0.388672	0.508082	8.01287e-005	
1.07479	0.826783	1	0.225151	0.263654	2.06083e-011	0.0921819	0.000239923	3.77045e-012	5.44958e-012	0.348598	3.33085e-013	0.398027	1.47199e-006	0.0356461	2.70164	1.03257e-006	3.64918	0.225151	-9.72552	1.19409	4.55928	0.000239923	10	0.00392242	99.9403	0	0	5	0.5	42	1.00746	4.52898	-0.207906	0.378702	0.223373	1.21964	0.90694	0.000250701	
1	0.84375	1	0.226863	0.572855	7.34202e-012	0.0951318	0.000241994	1.73533e-012	4.21839e-012	0.165575	5.85232e-015	0.413957	0.000156073	7.64347e-005	6.17003	8.61752e-006	1.91498	0.226863	-3.68086	1.24235	2.5898	0.000241994	10	0	99.9507	0	0	3.75	0.375	43	0.999615	4.38738	-0.207911	0.373781	0.224357	1.281	0.586165	0.000251879	
1.06229	0.857745	1	0.268073	0.186616	3.41747e-011	0.0352189	0.000104383	5.32696e-012	6.39645e-012	0.188166	1.2273e-013	0.174055	2.11852e-007	0.0825962	2.61768	5.88317e-007	3.69116	0.268073	-11.0396	0.522165	4.25379	0.000104383	10	17.0814	99.9821	0	0	5	0.5	44	1.00368	1.94137	-0.207881	0.161219	0.266869	0.540917	0.573121	0.000108598	
1.03125	0.9	1	0.125465	1.71147	1.96032e-012	0.111911	0.000728798	5.80842e-013	3.36498e-012	0.0651952	3.19282e-017	0.738468	0.16831	1.66641e-008	9.59161	9.53831e-005	0.204147	0.125465	5.6711	2.72043	1.11972	0.000728798	10	0	99.7752	0	0	3.92857	0.392857	45	0.990949	9.65114	-0.207911	0.880401	0.123033	2.75261	0.927948	0.000766816	
