x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	pe	pH	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	[X5]	
1.1	0.8375	1	0.299113	0.15293	3.18081e-009	0	0.176263	6.50034e-012	4.87883e-010	0	0	0	0.0233328	0	9.99988	0.000115121	0	0.299113	0.386603	0.0701134	0	0.176263	10	0	81.2844	0	0	3.75	0.375	36	19.1374	0.814222	1.6253	-0.0474366	-0.20791	1.49357e-009	0.299113	0.0610825	-1.8251e-068	0.185139	
1.1	0.86875	1	0.299113	0.154785	3.04585e-009	0	0.177897	6.42243e-012	4.7285e-010	0	0	0	0.0231125	0	9.99989	0.000114297	0	0.299113	0.386252	0.0694517	0	0.177897	10	0	81.1238	0	0	3.75	0.375	37	19.1427	0.808985	1.62771	-0.0479565	-0.20791	1.49017e-009	0.299113	0.0603348	-1.79228e-068	0.186861	
1.07344	0.875	1	0.299113	0.15468	3.05781e-009	0	0.177907	6.42679e-012	4.74384e-010	0	0	0	0.0232274	0	9.99989	0.000114512	0	0.299113	0.387298	0.0697968	0	0.177907	10	0	81.1241	0	0	5	0.5	38	19.1424	0.80928	1.62587	-0.0468886	-0.20791	1.49185e-009	0.299113	0.0606895	-1.7854e-068	0.186866	
1.08231	0.853125	1	0.299113	0.153444	3.14677e-009	0	0.176806	6.47856e-012	4.84284e-010	0	0	0	0.0233625	0	9.99988	0.000115041	0	0.299113	0.387414	0.0702026	0	0.176806	10	0	81.2317	0	0	5	0.5	39	19.1388	0.812765	1.6245	-0.0466621	-0.20791	1.49395e-009	0.299113	0.0611512	-1.80828e-068	0.185707	
1	0.7875	1	0.299113	0.155195	3.03667e-009	0	0.178714	6.40544e-012	4.72675e-010	0	0	0	0.0235188	0	9.99988	0.000114861	0	0.299113	0.390728	0.0706712	0	0.178714	10	0	81.0407	0	0	3.75	0.375	40	19.1438	0.807835	1.60154	-0.0434841	-0.207911	1.49624e-009	0.299113	0.0615443	-1.73921e-068	0.187706	
1.05666	0.80625	1	0.299113	0.151737	3.28499e-009	0	0.175503	6.55143e-012	4.99934e-010	0	0	0	0.0237659	0	9.99988	0.000116131	0	0.299113	0.389745	0.071414	0	0.175503	10	0	81.3575	0	0	5	0.5	41	19.1339	0.817622	1.61433	-0.0441609	-0.207911	1.49981e-009	0.299113	0.0624449	-1.81949e-068	0.184328	
1.07479	0.826783	1	0.299113	0.152154	3.24599e-009	0	0.175721	6.53349e-012	4.95355e-010	0	0	0	0.0235668	0	9.99988	0.0001157	0	0.299113	0.388169	0.0708163	0	0.175721	10	0	81.3372	0	0	5	0.5	42	19.1351	0.816431	1.62084	-0.0457857	-0.207911	1.49698e-009	0.299113	0.0618253	-1.82628e-068	0.184562	
1	0.84375	1	0.299113	0.157563	2.86913e-009	0	0.180643	6.30919e-012	4.5341e-010	0	0	0	0.0230796	0	9.99989	0.000113567	0	0.299113	0.3887	0.0693525	0	0.180643	10	0	80.8415	0	0	3.75	0.375	43	19.1505	0.80126	1.61337	-0.045739	-0.20791	1.48959e-009	0.299113	0.060113	-1.71289e-068	0.189744	
1.06229	0.857745	1	0.299113	0.153808	3.12559e-009	0	0.177252	6.46321e-012	4.82168e-010	0	0	0	0.0234438	0	9.99988	0.000115083	0	0.299113	0.388591	0.0704465	0	0.177252	10	0	81.1881	0	0	5	0.5	44	19.1399	0.811734	1.62199	-0.0455045	-0.20791	1.49523e-009	0.299113	0.0613824	-1.79087e-068	0.186171	
1.03125	0.9	1	0.299113	0.158026	2.83016e-009	0	0.180838	6.29069e-012	4.48567e-010	0	0	0	0.022812	0	9.99989	0.000113016	0	0.299113	0.386485	0.068549	0	0.180838	10	0	80.8209	0	0	3.92857	0.392857	45	19.1518	0.799984	1.62656	-0.0480119	-0.20791	1.48557e-009	0.299113	0.0592841	-1.72618e-068	0.189958	
