              x	              y	              z	           time	in	           A	
             16	            1.5	            0.5	             40	 1	  0 
             20	            1.5	            0.5	             40	 1	  0 
             24	            1.5	            0.5	             40	 1	  0 
             28	            1.5	            0.5	             40	 1	  0 
             32	            1.5	            0.5	             40	 1	  0 
             36	            1.5	            0.5	             40	 1	  0 
             40	            1.5	            0.5	             40	 1	  0 
             44	            1.5	            0.5	             40	 1	  0 
             48	            1.5	            0.5	             40	 1	  0 
             52	            1.5	            0.5	             40	 1	  0 
