              x	              y	              z	           time	in	          Cl	
          4e-05	         0.0001	              0              4	 1	  3.8450e-02	
          6e-05	         0.0001	              0              4	 1	  3.3834e-02	
          8e-05	         0.0001	              0              4	 1	  2.8302e-02	
         0.0001	         0.0001	              0              4	 1	  2.2515e-02	
        0.00012	         0.0001	              0              4	 1	  1.7044e-02	
        0.00014	         0.0001	              0              4	 1	  1.2287e-02	
        0.00016	         0.0001	              0              4	 1	  8.4412e-03	
        0.00018	         0.0001	              0              4	 1	  5.5314e-03	
         0.0002	         0.0001	              0              4	 1	  3.4607e-03	
        0.00022	         0.0001	              0              4	 1	  2.0692e-03	
        0.00024	         0.0001	              0              4	 1	  1.1837e-03	
        0.00026	         0.0001	              0              4	 1	  6.4850e-04	
        0.00028	         0.0001	              0              4	 1	  3.4066e-04	
         0.0003	         0.0001	              0              4	 1	  1.7178e-04	
        0.00032	         0.0001	              0              4	 1	  8.3237e-05	
        0.00034	         0.0001	              0              4	 1	  3.8805e-05	
        0.00036	         0.0001	              0              4	 1	  1.7425e-05	
        0.00038	         0.0001	              0              4	 1	  7.5450e-06	
         0.0004	         0.0001	              0              4	 1	  3.1538e-06	
        0.00042	         0.0001	              0              4	 1	  1.2740e-06	
        0.00044	         0.0001	              0              4	 1	  4.9789e-07	
        0.00046	         0.0001	              0              4	 1	  1.8844e-07	
        0.00048	         0.0001	              0              4	 1	  6.9147e-08	
         0.0005	         0.0001	              0              4	 1	  2.4623e-08	
        0.00052	         0.0001	              0              4	 1	  8.5175e-09	
        0.00054	         0.0001	              0              4	 1	  2.8648e-09	
        0.00056	         0.0001	              0              4	 1	  9.3777e-10	
        0.00058	         0.0001	              0              4	 1	  2.9901e-10	
         0.0006	         0.0001	              0              4	 1	  9.2951e-11	
        0.00062	         0.0001	              0              4	 1	  2.8190e-11	
        0.00064	         0.0001	              0              4	 1	  8.3439e-12	
        0.00066	         0.0001	              0              4	 1	  2.4085e-12	
        0.00068	         0.0001	              0              4	 1	  6.7432e-13	
         0.0007	         0.0001	              0              4	 1	  1.7855e-13	
        0.00072	         0.0001	              0              4	 1	  4.0322e-14	
        0.00074	         0.0001	              0              4	 1	  0 
        0.00076	         0.0001	              0              4	 1	  0 
        0.00078	         0.0001	              0              4	 1	  0 
         0.0008	         0.0001	              0              4	 1	  0 
        0.00082	         0.0001	              0              4	 1	  0 
        0.00084	         0.0001	              0              4	 1	  0 
        0.00086	         0.0001	              0              4	 1	  0 
        0.00088	         0.0001	              0              4	 1	  0 
         0.0009	         0.0001	              0              4	 1	  0 
        0.00092	         0.0001	              0              4	 1	  0 
        0.00094	         0.0001	              0              4	 1	  0 
        0.00096	         0.0001	              0              4	 1	  0 
        0.00098	         0.0001	              0              4	 1	  0 
          0.001	         0.0001	              0              4	 1	  0 
              0        0.00012	              0              4	 1	  3.2253e-02	
          2e-05	        0.00012	              0              4	 1	  3.1436e-02	
          4e-05	        0.00012	              0              4	 1	  2.9110e-02	
          6e-05	        0.00012	              0              4	 1	  2.5615e-02	
          8e-05	        0.00012	              0              4	 1	  2.1426e-02	
         0.0001	        0.00012	              0              4	 1	  1.7044e-02	
        0.00012	        0.00012	              0              4	 1	  1.2902e-02	
        0.00014	        0.00012	              0              4	 1	  9.3008e-03	
        0.00016	        0.00012	              0              4	 1	  6.3896e-03	
        0.00018	        0.00012	              0              4	 1	  4.1870e-03	
         0.0002	        0.00012	              0              4	 1	  2.6196e-03	
        0.00022	        0.00012	              0              4	 1	  1.5663e-03	
        0.00024	        0.00012	              0              4	 1	  8.9605e-04	
        0.00026	        0.00012	              0              4	 1	  4.9096e-04	
        0.00028	        0.00012	              0              4	 1	  2.5793e-04	
         0.0003	        0.00012	              0              4	 1	  1.3008e-04	
        0.00032	        0.00012	              0              4	 1	  6.3045e-05	
        0.00034	        0.00012	              0              4	 1	  2.9398e-05	
        0.00036	        0.00012	              0              4	 1	  1.3205e-05	
        0.00038	        0.00012	              0              4	 1	  5.7194e-06	
         0.0004	        0.00012	              0              4	 1	  2.3916e-06	
        0.00042	        0.00012	              0              4	 1	  9.6650e-07	
        0.00044	        0.00012	              0              4	 1	  3.7789e-07	
        0.00046	        0.00012	              0              4	 1	  1.4310e-07	
        0.00048	        0.00012	              0              4	 1	  5.2541e-08	
         0.0005	        0.00012	              0              4	 1	  1.8721e-08	
        0.00052	        0.00012	              0              4	 1	  6.4804e-09	
        0.00054	        0.00012	              0              4	 1	  2.1812e-09	
        0.00056	        0.00012	              0              4	 1	  7.1455e-10	
        0.00058	        0.00012	              0              4	 1	  2.2803e-10	
         0.0006	        0.00012	              0              4	 1	  7.0943e-11	
        0.00062	        0.00012	              0              4	 1	  2.1533e-11	
        0.00064	        0.00012	              0              4	 1	  6.3783e-12	
        0.00066	        0.00012	              0              4	 1	  1.8413e-12	
        0.00068	        0.00012	              0              4	 1	  5.1435e-13	
         0.0007	        0.00012	              0              4	 1	  1.3462e-13	
        0.00072	        0.00012	              0              4	 1	  2.8443e-14	
        0.00074	        0.00012	              0              4	 1	  0 
        0.00076	        0.00012	              0              4	 1	  0 
        0.00078	        0.00012	              0              4	 1	  0 
         0.0008	        0.00012	              0              4	 1	  0 
        0.00082	        0.00012	              0              4	 1	  0 
        0.00084	        0.00012	              0              4	 1	  0 
        0.00086	        0.00012	              0              4	 1	  0 
        0.00088	        0.00012	              0              4	 1	  0 
         0.0009	        0.00012	              0              4	 1	  0 
        0.00092	        0.00012	              0              4	 1	  0 
        0.00094	        0.00012	              0              4	 1	  0 
        0.00096	        0.00012	              0              4	 1	  0 
        0.00098	        0.00012	              0              4	 1	  0 
          0.001	        0.00012	              0              4	 1	  0 
              0        0.00014	              0              4	 1	  2.3253e-02	
          2e-05	        0.00014	              0              4	 1	  2.2664e-02	
          4e-05	        0.00014	              0              4	 1	  2.0986e-02	
          6e-05	        0.00014	              0              4	 1	  1.8466e-02	
