x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
1.1	0.68125	1	0.299113	1.25353e-005	0.183586	1.52151e-015	0	7.93034e-008	2.30814e-006	1.21018e-010	2.61115e-027	0.0237324	0	0	5.44578	1.99275e-009	2.27711	0.299113	-6.73639	0.254786	2.30084	0	10	0	0	0	0	3.75	0.375	61	1.01405	-0.22639	-0.207913	-0.598216	0.299113	0.254755	0.0233877	
1.08303	0.728125	1	0.299113	1.33956e-005	0.183839	1.14335e-015	0	7.42106e-008	2.46994e-006	8.51e-011	8.5082e-028	0.0233529	0	0	6.2757	2.80627e-009	1.86215	0.299113	-5.49302	0.253901	1.8855	0	10	0	0	0	0	5	0.5	62	1.01094	-0.229	-0.207913	-0.598215	0.299113	0.253883	0.0233946	
1	0.73125	1	0.299112	1.02355e-005	0.18622	2.73346e-015	0	9.71221e-008	1.91171e-006	2.66267e-010	3.45493e-026	0.0197804	0	0	3.56377	7.2013e-010	3.21811	0.299112	-9.57521	0.245563	3.23789	0	10	0	0	0	0	3.75	0.375	63	1.00094	-0.257873	-0.207912	-0.598214	0.299112	0.245418	0.0199151	
1.05667	0.682477	1	0.299112	1.38815e-005	0.185043	8.96971e-016	0	7.16127e-008	2.5763e-006	6.4425e-011	3.58567e-028	0.0215451	0	0	6.86147	3.43674e-009	1.56927	0.299112	-4.6216	0.249681	1.59081	0	10	0	0	0	0	5	0.5	64	1.00617	-0.24342	-0.207913	-0.59821	0.299112	0.249689	0.0215493	
1.06606	0.735712	1	0.299112	1.39491e-005	0.184473	9.23169e-016	0	7.12656e-008	2.58088e-006	6.59853e-011	3.82208e-028	0.0224014	0	0	6.83814	3.46465e-009	1.58093	0.299112	-4.65316	0.25168	1.60333	0	10	0	0	0	0	5	0.5	65	1.0077	-0.236622	-0.207913	-0.598214	0.299112	0.251673	0.0223993	
1.0269	0.689646	1	0.299112	1.28126e-005	0.185596	1.17768e-015	0	7.75872e-008	2.38502e-006	9.16436e-011	1.12153e-027	0.0207151	0	0	5.99691	2.36894e-009	2.00155	0.299112	-5.92176	0.247744	2.02226	0	10	0	0	0	0	5	0.5	66	1.0028	-0.250077	-0.207913	-0.598211	0.299112	0.247748	0.0207167	
1.06767	0.716546	1	0.299112	1.38741e-005	0.18448	9.42735e-016	0	7.16511e-008	2.56709e-006	6.77483e-011	4.15922e-028	0.0223905	0	0	6.77694	3.37865e-009	1.61153	0.299112	-4.74502	0.251654	1.63392	0	10	0	0	0	0	5	0.5	67	1.00824	-0.236727	-0.207913	-0.598213	0.299112	0.251648	0.0223696	
1.055	0.701829	1	0.299112	1.3834e-005	0.185002	9.12566e-016	0	7.1859e-008	2.56691e-006	6.57705e-011	3.82733e-028	0.0216065	0	0	6.81624	3.37837e-009	1.59188	0.299112	-4.6892	0.249824	1.61349	0	10	0	0	0	0	5	0.5	68	1.00604	-0.242928	-0.207913	-0.598211	0.299112	0.249833	0.0216108	
1.04391	0.724195	1	0.299112	1.35691e-005	0.185203	9.69021e-016	0	7.32617e-008	2.52049e-006	7.12027e-011	4.95633e-028	0.0213052	0	0	6.62035	3.09975e-009	1.68982	0.299112	-4.98423	0.249121	1.71113	0	10	0	0	0	0	5	0.5	69	1.00463	-0.24534	-0.207913	-0.598212	0.299112	0.24913	0.021309	
1.07872	0.694212	1	0.299112	1.37293e-005	0.184239	1.00294e-015	0	7.24068e-008	2.53698e-006	7.28351e-011	5.21588e-028	0.0227519	0	0	6.62171	3.19479e-009	1.68915	0.299112	-4.97642	0.252498	1.7119	0	10	0	0	0	0	5	0.5	70	1.00998	-0.233833	-0.207913	-0.598213	0.299112	0.252485	0.0227545	
