              x	              y	              z	           time	in	                  A	
              8	            9.5	              0	             40	 1	   6.1389987961e-10	
             12	            9.5	              0	             40	 1	   8.7669456264e-10	
             16	            9.5	              0	             40	 1	   8.5496561299e-10	
             20	            9.5	              0	             40	 1	   6.4875905849e-10	
             24	            9.5	              0	             40	 1	   4.1028319465e-10	
             28	            9.5	              0	             40	 1	   2.2551156937e-10	
             32	            9.5	              0	             40	 1	   1.1079575410e-10	
             36	            9.5	              0	             40	 1	   4.9637324945e-11	
             40	            9.5	              0	             40	 1	   2.0580216533e-11	
             44	            9.5	              0	             40	 1	   7.9865967703e-12	
             48	            9.5	              0	             40	 1	   2.9266285811e-12	
             52	            9.5	              0	             40	 1	   1.0187099587e-12	
             56	            9.5	              0	             40	 1	   3.3738474500e-13	
             60	            9.5	              0	             40	 1	   1.0470291498e-13	
             64	            9.5	              0	             40	 1	   2.9161079784e-14	
             68	            9.5	              0	             40	 1	   0.0000000000e+00	
             72	            9.5	              0	             40	 1	   0.0000000000e+00	
             76	            9.5	              0	             40	 1	   0.0000000000e+00	
             80	            9.5	              0	             40	 1	   0.0000000000e+00	
             84	            9.5	              0	             40	 1	   0.0000000000e+00	
             88	            9.5	              0	             40	 1	   0.0000000000e+00	
             92	            9.5	              0	             40	 1	   0.0000000000e+00	
             96	            9.5	              0	             40	 1	   0.0000000000e+00	
            100	            9.5	              0	             40	 1	   0.0000000000e+00	
              0	           10.5	              0	             40	 1	   0.0000000000e+00	
              4	           10.5	              0	             40	 1	   4.0976918849e-10	
              8	           10.5	              0	             40	 1	   1.1511512398e-09	
             12	           10.5	              0	             40	 1	   1.5939263980e-09	
             16	           10.5	              0	             40	 1	   1.5133787993e-09	
             20	           10.5	              0	             40	 1	   1.1212137662e-09	
             24	           10.5	              0	             40	 1	   6.9382939002e-10	
             28	           10.5	              0	             40	 1	   3.7385015447e-10	
             32	           10.5	              0	             40	 1	   1.8034109898e-10	
             36	           10.5	              0	             40	 1	   7.9436771776e-11	
             40	           10.5	              0	             40	 1	   3.2422011855e-11	
             44	           10.5	              0	             40	 1	   1.2399940533e-11	
             48	           10.5	              0	             40	 1	   4.4825975688e-12	
             52	           10.5	              0	             40	 1	   1.5417095876e-12	
             56	           10.5	              0	             40	 1	   5.0583490039e-13	
             60	           10.5	              0	             40	 1	   1.5666305504e-13	
             64	           10.5	              0	             40	 1	   4.4808390686e-14	
             68	           10.5	              0	             40	 1	   1.1876712591e-14	
             72	           10.5	              0	             40	 1	   0.0000000000e+00	
             76	           10.5	              0	             40	 1	   0.0000000000e+00	
             80	           10.5	              0	             40	 1	   0.0000000000e+00	
             84	           10.5	              0	             40	 1	   0.0000000000e+00	
             88	           10.5	              0	             40	 1	   0.0000000000e+00	
             92	           10.5	              0	             40	 1	   0.0000000000e+00	
             96	           10.5	              0	             40	 1	   0.0000000000e+00	
            100	           10.5	              0	             40	 1	   0.0000000000e+00	
              0	           11.5	              0	             40	 1	   0.0000000000e+00	
              4	           11.5	              0	             40	 1	   7.4690863415e-10	
              8	           11.5	              0	             40	 1	   2.0243875683e-09	
             12	           11.5	              0	             40	 1	   2.7247949112e-09	
             16	           11.5	              0	             40	 1	   2.5246081009e-09	
             20	           11.5	              0	             40	 1	   1.8301094463e-09	
             24	           11.5	              0	             40	 1	   1.1104334318e-09	
             28	           11.5	              0	             40	 1	   5.8768057975e-10	
             32	           11.5	              0	             40	 1	   2.7885902374e-10	
             36	           11.5	              0	             40	 1	   1.2098087591e-10	
             40	           11.5	              0	             40	 1	   4.8689787167e-11	
             44	           11.5	              0	             40	 1	   1.8380768969e-11	
             48	           11.5	              0	             40	 1	   6.5652166626e-12	
             52	           11.5	              0	             40	 1	   2.2333566702e-12	
             56	           11.5	              0	             40	 1	   7.2604620312e-13	
             60	           11.5	              0	             40	 1	   2.2562219168e-13	
             64	           11.5	              0	             40	 1	   6.4358938504e-14	
             68	           11.5	              0	             40	 1	   1.6940180316e-14	
             72	           11.5	              0	             40	 1	   0.0000000000e+00	
             76	           11.5	              0	             40	 1	   0.0000000000e+00	
