              x	              y	              z	           time	in	          Cl	
              5	              6	              3	             10	 1	  9.0397e-01	
              6	              6	              3	             10	 1	  8.8446e-01	
              7	              6	              3	             10	 1	  8.6657e-01	
              8	              6	              3	             10	 1	  8.5169e-01	
              9	              6	              3	             10	 1	  8.4147e-01	
             10	              6	              3	             10	 1	  8.3775e-01	
              0	              7	              3	             10	 1	  1.0000e+00	
              1	              7	              3	             10	 1	  9.8702e-01	
              2	              7	              3	             10	 1	  9.7074e-01	
              3	              7	              3	             10	 1	  9.5133e-01	
              4	              7	              3	             10	 1	  9.2917e-01	
              5	              7	              3	             10	 1	  9.0498e-01	
              6	              7	              3	             10	 1	  8.8614e-01	
              7	              7	              3	             10	 1	  8.6892e-01	
              8	              7	              3	             10	 1	  8.5468e-01	
              9	              7	              3	             10	 1	  8.4496e-01	
             10	              7	              3	             10	 1	  8.4144e-01	
              0	              8	              3	             10	 1	  1.0000e+00	
              1	              8	              3	             10	 1	  9.8688e-01	
              2	              8	              3	             10	 1	  9.7054e-01	
              3	              8	              3	             10	 1	  9.5122e-01	
              4	              8	              3	             10	 1	  9.2936e-01	
              5	              8	              3	             10	 1	  9.0568e-01	
              6	              8	              3	             10	 1	  8.8727e-01	
              7	              8	              3	             10	 1	  8.7049e-01	
              8	              8	              3	             10	 1	  8.5666e-01	
              9	              8	              3	             10	 1	  8.4725e-01	
             10	              8	              3	             10	 1	  8.4384e-01	
              0	              9	              3	             10	 1	  1.0000e+00	
              1	              9	              3	             10	 1	  9.8683e-01	
              2	              9	              3	             10	 1	  9.7048e-01	
              3	              9	              3	             10	 1	  9.5122e-01	
              4	              9	              3	             10	 1	  9.2952e-01	
              5	              9	              3	             10	 1	  9.0610e-01	
              6	              9	              3	             10	 1	  8.8793e-01	
              7	              9	              3	             10	 1	  8.7140e-01	
              8	              9	              3	             10	 1	  8.5779e-01	
              9	              9	              3	             10	 1	  8.4854e-01	
             10	              9	              3	             10	 1	  8.4520e-01	
              0	             10	              3	             10	 1	  1.0000e+00	
              1	             10	              3	             10	 1	  9.8682e-01	
              2	             10	              3	             10	 1	  9.7047e-01	
              3	             10	              3	             10	 1	  9.5123e-01	
              4	             10	              3	             10	 1	  9.2958e-01	
              5	             10	              3	             10	 1	  9.0624e-01	
              6	             10	              3	             10	 1	  8.8815e-01	
              7	             10	              3	             10	 1	  8.7169e-01	
              8	             10	              3	             10	 1	  8.5816e-01	
              9	             10	              3	             10	 1	  8.4896e-01	
             10	             10	              3	             10	 1	  8.4564e-01	
              0	              0	              4	             10	 1	  1.0000e+00	
              1	              0	              4	             10	 1	  9.9064e-01	
              2	              0	              4	             10	 1	  9.7650e-01	
              3	              0	              4	             10	 1	  9.5720e-01	
              4	              0	              4	             10	 1	  9.3212e-01	
              5	              0	              4	             10	 1	  9.0005e-01	
              6	              0	              4	             10	 1	  8.7821e-01	
              7	              0	              4	             10	 1	  8.5728e-01	
              8	              0	              4	             10	 1	  8.3919e-01	
              9	              0	              4	             10	 1	  8.2623e-01	
             10	              0	              4	             10	 1	  8.2136e-01	
              0	              1	              4	             10	 1	  1.0000e+00	
              1	              1	              4	             10	 1	  9.9063e-01	
              2	              1	              4	             10	 1	  9.7648e-01	
              3	              1	              4	             10	 1	  9.5719e-01	
              4	              1	              4	             10	 1	  9.3218e-01	
              5	              1	              4	             10	 1	  9.0025e-01	
              6	              1	              4	             10	 1	  8.7852e-01	
              7	              1	              4	             10	 1	  8.5772e-01	
              8	              1	              4	             10	 1	  8.3974e-01	
              9	              1	              4	             10	 1	  8.2687e-01	
             10	              1	              4	             10	 1	  8.2203e-01	
              0	              2	              4	             10	 1	  1.0000e+00	
              1	              2	              4	             10	 1	  9.9056e-01	
              2	              2	              4	             10	 1	  9.7635e-01	
              3	              2	              4	             10	 1	  9.5711e-01	
              4	              2	              4	             10	 1	  9.3230e-01	
              5	              2	              4	             10	 1	  9.0081e-01	
              6	              2	              4	             10	 1	  8.7945e-01	
              7	              2	              4	             10	 1	  8.5904e-01	
              8	              2	              4	             10	 1	  8.4143e-01	
              9	              2	              4	             10	 1	  8.2884e-01	
             10	              2	              4	             10	 1	  8.2411e-01	
              0	              3	              4	             10	 1	  1.0000e+00	
              1	              3	              4	             10	 1	  9.9034e-01	
              2	              3	              4	             10	 1	  9.7597e-01	
              3	              3	              4	             10	 1	  9.5675e-01	
              4	              3	              4	             10	 1	  9.3234e-01	
              5	              3	              4	             10	 1	  9.0174e-01	
              6	              3	              4	             10	 1	  8.8105e-01	
              7	              3	              4	             10	 1	  8.6132e-01	
              8	              3	              4	             10	 1	  8.4437e-01	
              9	              3	              4	             10	 1	  8.3229e-01	
             10	              3	              4	             10	 1	  8.2776e-01	
              0	              4	              4	             10	 1	  1.0000e+00	
              1	              4	              4	             10	 1	  9.8972e-01	
              2	              4	              4	             10	 1	  9.7488e-01	
              3	              4	              4	             10	 1	  9.5568e-01	
              4	              4	              4	             10	 1	  9.3201e-01	
              5	              4	              4	             10	 1	  9.0314e-01	
              6	              4	              4	             10	 1	  8.8346e-01	
              7	              4	              4	             10	 1	  8.6477e-01	
              8	              4	              4	             10	 1	  8.4881e-01	
              9	              4	              4	             10	 1	  8.3753e-01	
             10	              4	              4	             10	 1	  8.3333e-01	
              0	              5	              4	             10	 1	  1.0000e+00	
              1	              5	              4	             10	 1	  9.8780e-01	
