 x	y	z_datum	Time	Well_no	H         	O         	As        	C         	Ca        	Cl        	Mg        	Na        	S         	Charge    	pH	Alkalinity	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.3000000E+05	  1	  9.0192524E-03	  3.3615369E-02	  1.3826932E-07	  1.1101182E-02	  1.7685072E-04	  9.8635672E-03	  1.2716027E-04	  2.3765771E-02	  2.4164415E-04	  3.0279285E-03	  7.9987192E+00	  1.0999047E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.3200000E+05	  1	  8.7135782E-03	  3.2813547E-02	  1.6031469E-07	  1.0834281E-02	  1.5793603E-04	  8.5582021E-03	  1.1352260E-04	  2.1989155E-02	  2.4076167E-04	  2.7168940E-03	  8.0644164E+00	  1.0775470E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.3400000E+05	  1	  8.4412935E-03	  3.2095888E-02	  1.8549901E-07	  1.0595367E-02	  1.4260372E-04	  7.4372481E-03	  1.0245215E-04	  2.0440984E-02	  2.4000385E-04	  2.4399467E-03	  8.1261226E+00	  1.0573887E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.3600000E+05	  1	  8.1984391E-03	  3.1453979E-02	  2.1413233E-07	  1.0381645E-02	  1.3014553E-04	  6.4730242E-03	  9.3445508E-05	  1.9090358E-02	  2.3935199E-04	  2.1930242E-03	  8.1836816E+00	  1.0392753E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.3800000E+05	  1	  7.9814874E-03	  3.0879861E-02	  2.4647219E-07	  1.0190470E-02	  1.2000168E-04	  5.6422883E-03	  8.6103764E-05	  1.7910616E-02	  2.3879037E-04	  1.9725119E-03	  8.2370580E+00	  1.0230380E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.4000000E+05	  1	  7.7873179E-03	  3.0366139E-02	  2.8269376E-07	  1.0019383E-02	  1.1172915E-04	  4.9254760E-03	  8.0110503E-05	  1.6878760E-02	  2.3830577E-04	  1.7752158E-03	  8.2863210E+00	  1.0085033E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.4200000E+05	  1	  7.6131869E-03	  2.9906042E-02	  3.2286484E-07	  9.8661348E-03	  1.0497680E-04	  4.3060786E-03	  7.5214389E-05	  1.5974950E-02	  2.3788703E-04	  1.5983300E-03	  8.3316179E+00	  9.9550056E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.4400000E+05	  1	  7.4566951E-03	  2.9493446E-02	  3.6692865E-07	  9.7286878E-03	  9.9465668E-05	  3.7701333E-03	  7.1215379E-05	  1.5182082E-02	  2.3752471E-04	  1.4394028E-03	  8.3731457E+00	  9.8386698E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.4600000E+05	  1	  7.3157524E-03	  2.9122866E-02	  4.1469684E-07	  9.6052184E-03	  9.4973513E-05	  3.3058038E-03	  6.7953843E-05	  1.4485412E-02	  2.3721080E-04	  1.2962998E-03	  8.4111282E+00	  9.7345046E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.4800000E+05	  1	  7.1885441E-03	  2.8789429E-02	  4.6585293E-07	  9.4941062E-03	  9.1322720E-05	  2.9030351E-03	  6.5301996E-05	  1.3872236E-02	  2.3693851E-04	  1.1671689E-03	  8.4457981E+00	  9.6411154E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.5000000E+05	  1	  7.0734969E-03	  2.8488831E-02	  5.1996558E-07	  9.3939200E-03	  8.8370763E-05	  2.5532677E-03	  6.3157151E-05	  1.3331605E-02	  2.3670205E-04	  1.0504056E-03	  8.4773870E+00	  9.5572398E-03	
