         X         Y         Z         A         B         C         D
  71.42710   3.53586   0.00000   0.00000   0.00086   0.02060   0.07663
  73.47250   3.54209   0.00000   0.00000   0.00070   0.01809   0.07027
  75.53290   3.54923   0.00000   0.00000   0.00057   0.01579   0.06390
  77.60780   3.54857   0.00000   0.00000   0.00046   0.01370   0.05761
  79.68210   3.53488   0.00000   0.00000   0.00037   0.01183   0.05154
  81.74170   3.51540   0.00000   0.00000   0.00030   0.01015   0.04573
  83.78580   3.49534   0.00000   0.00000   0.00024   0.00866   0.04020
  85.81500   3.46860   0.00000   0.00000   0.00019   0.00734   0.03502
  87.81990   3.43567   0.00000   0.00000   0.00015   0.00619   0.03026
  89.79290   3.41712   0.00000   0.00000   0.00012   0.00517   0.02587
  91.75230   3.45401   0.00000   0.00000   0.00010   0.00426   0.02177
  93.77890   3.59375   0.00000   0.00000   0.00008   0.00341   0.01779
  95.05930  23.07220   0.00000   0.00000   0.00000   0.00000   0.00000
  92.88320  23.01840   0.00000   0.00000   0.00000   0.00000   0.00000
  90.76650  23.14780   0.00000   0.00000   0.00000   0.00000   0.00000
  88.73880  23.21640   0.00000   0.00000   0.00000   0.00000   0.00000
  86.72010  23.23390   0.00000   0.00000   0.00000   0.00000   0.00000
  84.69130  23.23700   0.00000   0.00000   0.00000   0.00000   0.00000
  82.65560  23.23490   0.00000   0.00000   0.00000   0.00000   0.00000
  80.61520  23.23180   0.00000   0.00000   0.00000   0.00000   0.00000
  78.57240  23.23040   0.00000   0.00000   0.00000   0.00000   0.00000
  76.52980  23.23100   0.00000   0.00000   0.00000   0.00000   0.00000
  74.48860  23.23230   0.00000   0.00000   0.00000   0.00000   0.00000
  72.44840  23.23310   0.00000   0.00000   0.00000   0.00000   0.00000
  70.40820  23.23310   0.00000   0.00000   0.00000   0.00000   0.00000
  68.36760  23.23280   0.00000   0.00000   0.00000   0.00000   0.00000
  66.32670  23.23250   0.00000   0.00000   0.00000   0.00000   0.00000
  64.28570  23.23250   0.00000   0.00000   0.00000   0.00000   0.00000
  62.24480  23.23260   0.00000   0.00000   0.00000   0.00000   0.00000
  60.20400  23.23260   0.00000   0.00000   0.00000   0.00000   0.00000
  58.16330  23.23260   0.00000   0.00000   0.00000   0.00000   0.00000
  56.12250  23.23260   0.00000   0.00000   0.00000   0.00000   0.00000
  54.08160  23.23260   0.00000   0.00000   0.00000   0.00000   0.00000
  52.04080  23.23260   0.00000   0.00000   0.00000   0.00000   0.00000
  50.00000  23.23260   0.00000   0.00000   0.00000   0.00000   0.00000
  47.95920  23.23260   0.00000   0.00000   0.00000   0.00000   0.00000
  45.91840  23.23260   0.00000   0.00000   0.00000   0.00000   0.00000
  43.87760  23.23260   0.00000   0.00000   0.00000   0.00000   0.00000
  41.83670  23.23260   0.00000   0.00000   0.00000   0.00000   0.00000
  39.79590  23.23260   0.00000   0.00000   0.00000   0.00000   0.00000
  37.75510  23.23260   0.00000   0.00000   0.00000   0.00000   0.00000
  35.71430  23.23260   0.00000   0.00000   0.00000   0.00000   0.00000
  33.67350  23.23260   0.00000   0.00000   0.00000   0.00000   0.00000
  31.63260  23.23260   0.00000   0.00000   0.00000   0.00000   0.00000
  29.59180  23.23270   0.00000   0.00000   0.00000   0.00000   0.00000
  27.55110  23.23280   0.00000   0.00000   0.00000   0.00000   0.00000
  25.51050  23.23270   0.00000   0.00000   0.00000   0.00000   0.00000
  23.46990  23.23210   0.00000   0.00000   0.00000   0.00000   0.00000
  21.42820  23.23130   0.00000   0.00000   0.00000   0.00000   0.00000
  19.38510  23.23190   0.00000   0.00000   0.00000   0.00000   0.00000
  17.34290  23.23640   0.00000   0.00000   0.00000   0.00000   0.00000
  15.30840  23.24390   0.00000   0.00000   0.00000   0.00000   0.00000
  13.28790  23.24190   0.00000   0.00000   0.00000   0.00000   0.00000
  11.27180  23.20490   0.00000   0.00000   0.00000   0.00000   0.00000
   9.21945  23.11170   0.00000   0.00000   0.00000   0.00000   0.00000
   7.06492  22.99120   0.00000   0.00000   0.00000   0.00000   0.00000
   4.87799  23.07340   0.00000   0.00000   0.00000   0.00000   0.00000
   1.71211  20.12390   0.00000   0.00000   0.00000   0.00000   0.00000
   1.76780  18.05680   0.00000   0.00000   0.00000   0.00000   0.00000
   1.75743  16.00270   0.00000   0.00000   0.00000   0.00000   0.00000
   1.73533  13.98300   0.00000   0.00000   0.00000   0.00000   0.00000
   1.71223  11.98570   0.00000   0.00000   0.00000   0.00000   0.00000
   1.69133  10.00710   0.00000   0.00000   0.00003   0.00004   0.00002
   1.69731   8.03996   0.00000   0.00025   0.00079   0.00055   0.00015
   1.85606   6.04757   0.00000   0.02649   0.02459   0.00734   0.00115
   3.69336   5.31124   0.00000   0.16107   0.13822   0.03848   0.00572
   5.47719   4.97751   0.00000   0.17256   0.21619   0.07630   0.01302
   7.25015   5.09395   0.00000   0.10967   0.20335   0.09438   0.01941
   3.55693   7.43603   0.00000   0.00247   0.00639   0.00382   0.00096
   5.23010   6.65275   0.00000   0.01631   0.03421   0.01761   0.00395
   6.21724   5.86615   0.00000   0.05627   0.10186   0.04696   0.00969
   3.35525   9.05750   0.00000   0.00009   0.00045   0.00045   0.00016
   4.94320   8.17596   0.00000   0.00088   0.00347   0.00280   0.00088
   6.42174   7.35789   0.00000   0.00522   0.01668   0.01157   0.00323
   3.40189  10.98090   0.00000   0.00000   0.00002   0.00004   0.00002
   3.45430  12.95210   0.00000   0.00000   0.00000   0.00000   0.00000
   3.50688  14.96320   0.00000   0.00000   0.00000   0.00000   0.00000
   3.57297  17.03920   0.00000   0.00000   0.00000   0.00000   0.00000
   5.05948   9.98175   0.00000   0.00003   0.00023   0.00031   0.00014
   6.52834   8.97391   0.00000   0.00029   0.00172   0.00185   0.00072
   3.61192  19.23020   0.00000   0.00000   0.00000   0.00000   0.00000
   5.17974  11.90950   0.00000   0.00000   0.00001   0.00003   0.00002
   5.24568  13.90460   0.00000   0.00000   0.00000   0.00000   0.00000
   5.35201  15.94660   0.00000   0.00000   0.00000   0.00000   0.00000
   5.51378  18.12140   0.00000   0.00000   0.00000   0.00000   0.00000
   3.39205  21.42650   0.00000   0.00000   0.00000   0.00000   0.00000
   8.96918   5.10466   0.00000   0.07709   0.19464   0.11248   0.02708
   7.73085   6.43032   0.00000   0.02292   0.06222   0.03827   0.00974
   7.90888   8.05371   0.00000   0.00181   0.00857   0.00783   0.00269
  98.21510  19.97310   0.00000   0.00000   0.00000   0.00000   0.00001
  98.14440  17.80830   0.00000   0.00000   0.00000   0.00001   0.00006
  98.15520  15.64720   0.00000   0.00000   0.00000   0.00004   0.00022
  98.18650  13.52940   0.00000   0.00000   0.00000   0.00012   0.00066
  98.21140  11.44480   0.00000   0.00000   0.00001   0.00029   0.00162
  98.21770   9.37230   0.00000   0.00000   0.00001   0.00061   0.00335
  98.19820   7.28486   0.00000   0.00000   0.00002   0.00109   0.00596
  98.17170   5.14227   0.00000   0.00000   0.00003   0.00169   0.00918
  96.14300   3.86276   0.00000   0.00000   0.00005   0.00256   0.01364
   5.75444  20.70290   0.00000   0.00000   0.00000   0.00000   0.00000
   8.25100  21.12090   0.00000   0.00000   0.00000   0.00000   0.00000
   7.57052  19.01060   0.00000   0.00000   0.00000   0.00000   0.00000
   7.26397  16.88880   0.00000   0.00000   0.00000   0.00000   0.00000
  10.33360  21.38110   0.00000   0.00000   0.00000   0.00000   0.00000
  12.30840  21.48530   0.00000   0.00000   0.00000   0.00000   0.00000
   7.09276  14.84610   0.00000   0.00000   0.00000   0.00000   0.00000
  14.29380  21.49360   0.00000   0.00000   0.00000   0.00000   0.00000
   6.98335  12.86380   0.00000   0.00000   0.00001   0.00002   0.00001
  16.31650  21.47610   0.00000   0.00000   0.00000   0.00000   0.00000
  18.36000  21.46400   0.00000   0.00000   0.00000   0.00000   0.00000
  20.40680  21.46180   0.00000   0.00000   0.00000   0.00000   0.00000
  22.45010  21.46400   0.00000   0.00000   0.00000   0.00000   0.00000
  24.49060  21.46570   0.00000   0.00000   0.00000   0.00000   0.00000
  26.53060  21.46610   0.00000   0.00000   0.00000   0.00000   0.00000
  28.57110  21.46580   0.00000   0.00000   0.00000   0.00000   0.00000
  30.61200  21.46550   0.00000   0.00000   0.00000   0.00000   0.00000
  32.65300  21.46540   0.00000   0.00000   0.00000   0.00000   0.00000
  34.69400  21.46520   0.00000   0.00000   0.00000   0.00000   0.00000
  36.73500  21.46500   0.00000   0.00000   0.00000   0.00000   0.00000
  38.77590  21.46500   0.00000   0.00000   0.00000   0.00000   0.00000
  40.81670  21.46500   0.00000   0.00000   0.00000   0.00000   0.00000
  42.85740  21.46520   0.00000   0.00000   0.00000   0.00000   0.00000
  44.89820  21.46530   0.00000   0.00000   0.00000   0.00000   0.00000
  46.93900  21.46530   0.00000   0.00000   0.00000   0.00000   0.00000
  48.97980  21.46520   0.00000   0.00000   0.00000   0.00000   0.00000
  51.02060  21.46510   0.00000   0.00000   0.00000   0.00000   0.00001
  53.06150  21.46510   0.00000   0.00000   0.00000   0.00000   0.00001
  55.10230  21.46510   0.00000   0.00000   0.00000   0.00000   0.00001
  57.14300  21.46530   0.00000   0.00000   0.00000   0.00000   0.00001
  59.18360  21.46530   0.00000   0.00000   0.00000   0.00000   0.00001
  61.22430  21.46520   0.00000   0.00000   0.00000   0.00000   0.00001
  63.26530  21.46490   0.00000   0.00000   0.00000   0.00000   0.00001
  65.30670  21.46470   0.00000   0.00000   0.00000   0.00000   0.00001
  67.34810  21.46520   0.00000   0.00000   0.00000   0.00000   0.00001
  69.38870  21.46620   0.00000   0.00000   0.00000   0.00000   0.00001
  71.42790  21.46680   0.00000   0.00000   0.00000   0.00000   0.00001
  73.46670  21.46520   0.00000   0.00000   0.00000   0.00000   0.00001
  75.50800  21.46130   0.00000   0.00000   0.00000   0.00000   0.00001
  77.55330  21.45830   0.00000   0.00000   0.00000   0.00000   0.00001
  79.60000  21.46130   0.00000   0.00000   0.00000   0.00000   0.00001
  81.64080  21.47020   0.00000   0.00000   0.00000   0.00000   0.00001
  83.67080  21.47680   0.00000   0.00000   0.00000   0.00000   0.00001
  85.69200  21.47120   0.00000   0.00000   0.00000   0.00000   0.00001
  87.70420  21.45170   0.00000   0.00000   0.00000   0.00000   0.00001
  89.67370  21.41340   0.00000   0.00000   0.00000   0.00000   0.00001
  91.67050  21.17490   0.00000   0.00000   0.00000   0.00000   0.00001
  94.10830  20.66310   0.00000   0.00000   0.00000   0.00000   0.00001
  96.51850  21.36040   0.00000   0.00000   0.00000   0.00000   0.00001
   7.01414  10.79500   0.00000   0.00001   0.00014   0.00023   0.00013
   7.90235   9.44209   0.00000   0.00016   0.00125   0.00159   0.00071
  96.24900  19.08290   0.00000   0.00000   0.00000   0.00001   0.00003
  96.26000  16.76910   0.00000   0.00000   0.00000   0.00002   0.00014
  96.33690  14.56590   0.00000   0.00000   0.00000   0.00009   0.00048
  96.41540  12.45470   0.00000   0.00000   0.00000   0.00023   0.00128
