         X         Y         Z         A         B         C         D
   6.12245   0.00000  14.40000   0.00000   0.00000   0.00000   0.00000
   8.16327   0.00000  14.40000   0.00000   0.00000   0.00000   0.00000
  10.20410   0.00000  14.40000   0.00000   0.00000   0.00000   0.00000
  12.24490   0.00000  14.40000   0.00000   0.00000   0.00000   0.00000
  14.28570   0.00000  14.40000   0.00000   0.00000   0.00000   0.00000
  16.32650   0.00000  14.40000   0.00000   0.00000   0.00000   0.00000
  18.36730   0.00000  14.40000   0.00000   0.00000   0.00000   0.00001
  20.40820   0.00000  14.40000   0.00000   0.00000   0.00001   0.00001
  22.44900   0.00000  14.40000   0.00000   0.00000   0.00001   0.00002
  24.48980   0.00000  14.40000   0.00000   0.00000   0.00001   0.00002
  26.53060   0.00000  14.40000   0.00000   0.00000   0.00002   0.00003
  28.57140   0.00000  14.40000   0.00000   0.00000   0.00002   0.00005
  30.61220   0.00000  14.40000   0.00000   0.00000   0.00003   0.00006
  32.65310   0.00000  14.40000   0.00000   0.00000   0.00004   0.00009
  34.69390   0.00000  14.40000   0.00000   0.00000   0.00005   0.00011
  36.73470   0.00000  14.40000   0.00000   0.00001   0.00006   0.00014
  38.77550   0.00000  14.40000   0.00000   0.00001   0.00007   0.00017
  40.81630   0.00000  14.40000   0.00000   0.00001   0.00008   0.00021
  42.85710   0.00000  14.40000   0.00000   0.00001   0.00009   0.00025
  44.89800   0.00000  14.40000   0.00000   0.00001   0.00011   0.00030
  46.93880   0.00000  14.40000   0.00000   0.00001   0.00012   0.00035
  48.97960   0.00000  14.40000   0.00000   0.00001   0.00013   0.00040
  51.02040   0.00000  14.40000   0.00000   0.00001   0.00014   0.00045
  53.06120   0.00000  14.40000   0.00000   0.00001   0.00015   0.00050
  55.10200   0.00000  14.40000   0.00000   0.00001   0.00016   0.00055
  57.14290   0.00000  14.40000   0.00000   0.00001   0.00017   0.00060
  59.18370   0.00000  14.40000   0.00000   0.00001   0.00017   0.00064
  61.22450   0.00000  14.40000   0.00000   0.00001   0.00017   0.00068
  63.26530   0.00000  14.40000   0.00000   0.00001   0.00018   0.00071
  65.30610   0.00000  14.40000   0.00000   0.00001   0.00017   0.00073
  67.34690   0.00000  14.40000   0.00000   0.00001   0.00017   0.00074
  69.38780   0.00000  14.40000   0.00000   0.00001   0.00017   0.00074
  71.42860   0.00000  14.40000   0.00000   0.00000   0.00016   0.00074
  73.46940   0.00000  14.40000   0.00000   0.00000   0.00016   0.00072
  75.51020   0.00000  14.40000   0.00000   0.00000   0.00015   0.00070
  77.55100   0.00000  14.40000   0.00000   0.00000   0.00014   0.00067
  79.59180   0.00000  14.40000   0.00000   0.00000   0.00013   0.00063
  81.63270   0.00000  14.40000   0.00000   0.00000   0.00011   0.00058
  83.67350   0.00000  14.40000   0.00000   0.00000   0.00010   0.00053
  85.71430   0.00000  14.40000   0.00000   0.00000   0.00009   0.00048
  87.75510   0.00000  14.40000   0.00000   0.00000   0.00008   0.00042
  89.79590   0.00000  14.40000   0.00000   0.00000   0.00007   0.00037
  91.83670   0.00000  14.40000   0.00000   0.00000   0.00006   0.00032
  93.87760   0.00000  14.40000   0.00000   0.00000   0.00005   0.00027
  95.91840   0.00000  14.40000   0.00000   0.00000   0.00004   0.00023
  97.95920   0.00000  14.40000   0.00000   0.00000   0.00003   0.00019
 100.00000   0.00000  14.40000   0.00000   0.00000   0.00003   0.00015
   1.02041   0.00000  14.40000   0.00000   0.00000   0.00000   0.00000
   3.06122   0.00000  14.40000   0.00000   0.00000   0.00000   0.00000
   5.10204   0.00000  14.40000   0.00000   0.00000   0.00000   0.00000
   7.14286   0.00000  14.40000   0.00000   0.00000   0.00000   0.00000
   0.00000   0.00000  14.20000   0.00000   0.00000   0.00000   0.00000
   2.04082   0.00000  14.20000   0.00000   0.00000   0.00000   0.00000
   4.08163   0.00000  14.20000   0.00000   0.00000   0.00000   0.00000
   6.12245   0.00000  14.20000   0.00000   0.00000   0.00000   0.00000
   8.16327   0.00000  14.20000   0.00000   0.00000   0.00000   0.00000
  10.20410   0.00000  14.20000   0.00000   0.00000   0.00000   0.00000
  12.24490   0.00000  14.20000   0.00000   0.00000   0.00000   0.00000
  14.28570   0.00000  14.20000   0.00000   0.00000   0.00000   0.00000
  16.32650   0.00000  14.20000   0.00000   0.00000   0.00000   0.00001
  18.36730   0.00000  14.20000   0.00000   0.00000   0.00001   0.00001
  20.40820   0.00000  14.20000   0.00000   0.00000   0.00001   0.00001
  22.44900   0.00000  14.20000   0.00000   0.00000   0.00001   0.00002
  24.48980   0.00000  14.20000   0.00000   0.00000   0.00002   0.00003
  26.53060   0.00000  14.20000   0.00000   0.00000   0.00002   0.00004
  28.57140   0.00000  14.20000   0.00000   0.00000   0.00003   0.00006
  30.61220   0.00000  14.20000   0.00000   0.00000   0.00004   0.00008
  32.65310   0.00000  14.20000   0.00000   0.00000   0.00005   0.00010
  34.69390   0.00000  14.20000   0.00000   0.00001   0.00006   0.00013
  36.73470   0.00000  14.20000   0.00000   0.00001   0.00007   0.00017
  38.77550   0.00000  14.20000   0.00000   0.00001   0.00009   0.00021
  40.81630   0.00000  14.20000   0.00000   0.00001   0.00010   0.00025
  42.85710   0.00000  14.20000   0.00000   0.00001   0.00011   0.00030
  44.89800   0.00000  14.20000   0.00000   0.00001   0.00013   0.00035
  46.93880   0.00000  14.20000   0.00000   0.00001   0.00014   0.00041
  48.97960   0.00000  14.20000   0.00000   0.00001   0.00015   0.00046
  51.02040   0.00000  14.20000   0.00000   0.00001   0.00016   0.00052
  53.06120   0.00000  14.20000   0.00000   0.00001   0.00018   0.00058
  55.10200   0.00000  14.20000   0.00000   0.00001   0.00018   0.00064
  57.14290   0.00000  14.20000   0.00000   0.00001   0.00019   0.00069
  59.18370   0.00000  14.20000   0.00000   0.00001   0.00020   0.00074
  61.22450   0.00000  14.20000   0.00000   0.00001   0.00020   0.00078
  63.26530   0.00000  14.20000   0.00000   0.00001   0.00020   0.00081
  65.30610   0.00000  14.20000   0.00000   0.00001   0.00020   0.00083
  67.34690   0.00000  14.20000   0.00000   0.00001   0.00020   0.00085
  69.38780   0.00000  14.20000   0.00000   0.00001   0.00019   0.00085
  71.42860   0.00000  14.20000   0.00000   0.00001   0.00019   0.00084
  73.46940   0.00000  14.20000   0.00000   0.00000   0.00018   0.00082
  75.51020   0.00000  14.20000   0.00000   0.00000   0.00017   0.00079
  77.55100   0.00000  14.20000   0.00000   0.00000   0.00016   0.00076
  79.59180   0.00000  14.20000   0.00000   0.00000   0.00014   0.00071
  81.63270   0.00000  14.20000   0.00000   0.00000   0.00013   0.00066
  83.67350   0.00000  14.20000   0.00000   0.00000   0.00012   0.00060
  85.71430   0.00000  14.20000   0.00000   0.00000   0.00010   0.00054
  87.75510   0.00000  14.20000   0.00000   0.00000   0.00009   0.00048
  89.79590   0.00000  14.20000   0.00000   0.00000   0.00008   0.00042
  91.83670   0.00000  14.20000   0.00000   0.00000   0.00007   0.00036
  93.87760   0.00000  14.20000   0.00000   0.00000   0.00006   0.00031
  95.91840   0.00000  14.20000   0.00000   0.00000   0.00005   0.00026
  97.95920   0.00000  14.20000   0.00000   0.00000   0.00004   0.00021
 100.00000   0.00000  14.20000   0.00000   0.00000   0.00003   0.00017
   1.02041   0.00000  14.20000   0.00000   0.00000   0.00000   0.00000
   3.06122   0.00000  14.20000   0.00000   0.00000   0.00000   0.00000
   5.10204   0.00000  14.20000   0.00000   0.00000   0.00000   0.00000
   7.14286   0.00000  14.20000   0.00000   0.00000   0.00000   0.00000
   0.00000   0.00000  14.00000   0.00000   0.00000   0.00000   0.00000
   2.04082   0.00000  14.00000   0.00000   0.00000   0.00000   0.00000
   4.08163   0.00000  14.00000   0.00000   0.00000   0.00000   0.00000
   6.12245   0.00000  14.00000   0.00000   0.00000   0.00000   0.00000
   8.16327   0.00000  14.00000   0.00000   0.00000   0.00000   0.00000
  10.20410   0.00000  14.00000   0.00000   0.00000   0.00000   0.00000
  12.24490   0.00000  14.00000   0.00000   0.00000   0.00000   0.00000
  14.28570   0.00000  14.00000   0.00000   0.00000   0.00000   0.00000
  16.32650   0.00000  14.00000   0.00000   0.00000   0.00000   0.00001
  18.36730   0.00000  14.00000   0.00000   0.00000   0.00001   0.00001
  20.40820   0.00000  14.00000   0.00000   0.00000   0.00001   0.00002
  22.44900   0.00000  14.00000   0.00000   0.00000   0.00001   0.00002
  24.48980   0.00000  14.00000   0.00000   0.00000   0.00002   0.00004
  26.53060   0.00000  14.00000   0.00000   0.00000   0.00003   0.00005
  28.57140   0.00000  14.00000   0.00000   0.00000   0.00004   0.00007
  30.61220   0.00000  14.00000   0.00000   0.00001   0.00005   0.00009
  32.65310   0.00000  14.00000   0.00000   0.00001   0.00006   0.00012
  34.69390   0.00000  14.00000   0.00000   0.00001   0.00007   0.00016
  36.73470   0.00000  14.00000   0.00000   0.00001   0.00009   0.00020
  38.77550   0.00000  14.00000   0.00000   0.00001   0.00010   0.00024
  40.81630   0.00000  14.00000   0.00000   0.00001   0.00012   0.00030
