              x	              y	              z	           time	in	          pH	          Ca	          Mg	          Na	          Cl	        C(4)	         SO4	          As	
          54000	          24000	            200	         100000	 1	     8.32454	  3.2235e+00	  1.3964e+00	  1.9119e+02	  4.7418e+00	  4.9305e+02	  2.2567e+01	  1.4759e+01	
          60000	          24000	            200	         100000	 1	     8.30538	  3.3603e+00	  1.4574e+00	  1.9054e+02	  4.7409e+00	  4.9256e+02	  2.2567e+01	  1.3597e+01	
          66000	          24000	            200	         100000	 1	     8.29957	  3.4030e+00	  1.4765e+00	  1.9034e+02	  4.7406e+00	  4.9241e+02	  2.2567e+01	  1.3263e+01	
          72000	          24000	            200	         100000	 1	     8.29485	  3.4383e+00	  1.4922e+00	  1.9018e+02	  4.7403e+00	  4.9229e+02	  2.2567e+01	  1.2996e+01	
          78000	          24000	            200	         100000	 1	     8.28193	  3.5365e+00	  1.5360e+00	  1.8973e+02	  4.7402e+00	  4.9196e+02	  2.2567e+01	  1.2297e+01	
          84000	          24000	            200	         100000	 1	     8.27533	  3.5879e+00	  1.5590e+00	  1.8950e+02	  4.7402e+00	  4.9179e+02	  2.2567e+01	  1.1954e+01	
          90000	          24000	            200	         100000	 1	     8.27202	  3.6139e+00	  1.5706e+00	  1.8939e+02	  4.7402e+00	  4.9170e+02	  2.2567e+01	  1.1786e+01	
              0	          30000	            200	         100000	 1	     5.75658	  2.9698e+03	  1.0356e+03	  2.9036e+04	  5.0710e+04	  2.1428e+03	  1.1539e+02	  3.8901e-01	
           6000	          30000	            200	         100000	 1	      6.2737	  5.6273e+02	  2.2702e+02	  8.7151e+03	  1.3263e+04	  1.7844e+03	  4.6836e+01	  1.0035e-01	
          12000	          30000	            200	         100000	 1	     6.98591	  7.1612e+01	  3.0820e+01	  2.2819e+03	  2.7479e+03	  1.0787e+03	  2.7588e+01	  1.6498e-01	
          18000	          30000	            200	         100000	 1	     7.85639	  8.8427e+00	  3.8657e+00	  6.3976e+02	  5.0324e+02	  6.7293e+02	  2.3479e+01	  2.4991e+00	
          24000	          30000	            200	         100000	 1	     8.38453	  2.7966e+00	  1.2036e+00	  2.7108e+02	  7.7612e+01	  5.3505e+02	  2.2700e+01	  1.9712e+01	
          30000	          30000	            200	         100000	 1	     8.33838	  3.1229e+00	  1.3512e+00	  1.9997e+02	  1.2136e+01	  4.9806e+02	  2.2580e+01	  1.5744e+01	
