ID	x	y	z	p4f	H*	O*	Charge	Ap	Bp	Cp	Dp	p4f	sim	state	soln	dist_x	time	step	pH	pe	mass_H2O	charge(eq)	k_R_1	dk_R_1	k_R_2	dk_R_2	k_R_3	dk_R_3	k_R_4	dk_R_4
48	73.4694	0	15	0.00265262	-0.415829	-0.207914	-3.11217e-018	-3.21462e-009	4.11368e-006	0.000178219	0.000926607	-99999	1	1e+030	48	-99	864000	1	6.99977	12.2203	0.0997043	-3.11217e-019	10	-0	0.999999	-9.1078e-008	0.999987	-1.8698e-006	0.999972	-4.70404e-006
49	75.5102	0	15	0.00259465	-0.415829	-0.207914	-3.11258e-018	-4.85743e-009	3.7169e-006	0.000168799	0.000898438	-99999	1	1e+030	49	-99	864000	1	6.99977	12.2254	0.0997043	-3.11258e-019	10	-0	0.999999	-8.22933e-008	0.999988	-1.77116e-006	0.999974	-4.56209e-006
50	77.551	0	15	0.00250264	-0.415829	-0.207914	-3.1128e-018	-6.60766e-009	3.3263e-006	0.000157955	0.000859381	-99999	1	1e+030	50	-99	864000	1	6.99977	12.2302	0.0997043	-3.1128e-019	10	-0	0.999999	-7.36452e-008	0.99999	-1.65755e-006	0.999976	-4.36468e-006
51	79.5918	0	15	0.00237992	-0.415829	-0.207914	-3.11299e-018	-8.37716e-009	2.94763e-006	0.000146	0.000810805	-99999	1	1e+030	51	-99	864000	1	6.99977	12.2341	0.0997043	-3.11299e-019	10	-0	1	-6.52614e-008	0.999991	-1.53224e-006	0.999979	-4.11876e-006
52	81.6327	0	15	0.00223107	-0.415829	-0.207914	-3.11361e-018	-1.00586e-008	2.5859e-006	0.000133271	0.000754426	-99999	1	1e+030	52	-99	864000	1	6.99977	12.2368	0.0997043	-3.11361e-019	10	-0	1	-5.72526e-008	0.999992	-1.39876e-006	0.999981	-3.83304e-006
53	83.6735	0	15	0.00206153	-0.415829	-0.207914	-3.11422e-018	-1.15496e-008	2.24518e-006	0.000120111	0.000692187	-99999	1	1e+030	53	-99	864000	1	6.99977	12.2383	0.0997043	-3.11422e-019	10	-0	1	-4.97089e-008	0.999993	-1.26073e-006	0.999984	-3.51739e-006
54	85.7143	0	15	0.0018773	-0.415829	-0.207914	-3.11481e-018	-1.2774e-008	1.92864e-006	0.000106854	0.000626137	-99999	1	1e+030	54	-99	864000	1	6.99977	12.2384	0.0997043	-3.11481e-019	10	-0	1	-4.27005e-008	0.999994	-1.12166e-006	0.999986	-3.18222e-006
55	87.7551	0	15	0.00168458	-0.415829	-0.207914	-3.11524e-018	-1.36631e-008	1.63857e-006	9.38157e-005	0.000558342	-99999	1	1e+030	55	-99	864000	1	6.99977	12.2372	0.0997043	-3.11524e-019	10	-0	1	-3.62784e-008	0.999995	-9.84856e-007	0.999988	-2.83805e-006
56	89.7959	0	15	0.0014895	-0.415829	-0.207914	-3.11584e-018	-1.41478e-008	1.37639e-006	8.12738e-005	0.000490769	-99999	1	1e+030	56	-99	864000	1	6.99977	12.2347	0.0997043	-3.11584e-019	10	-0	1	-3.04736e-008	0.999996	-8.53242e-007	0.99999	-2.49489e-006
57	91.8367	0	15	0.00129765	-0.415829	-0.207914	-3.11625e-018	-1.41994e-008	1.14262e-006	6.9461e-005	0.00042518	-99999	1	1e+030	57	-99	864000	1	6.99977	12.2309	0.0997043	-3.11625e-019	10	-0	1	-2.52978e-008	0.999997	-7.29264e-007	0.999992	-2.16171e-006
58	93.8776	0	15	0.00111399	-0.415829	-0.207914	-3.1173e-018	-1.39161e-008	9.37077e-007	5.85616e-005	0.000363087	-99999	1	1e+030	58	-99	864000	1	6.99977	12.226	0.0997043	-3.1173e-019	10	-0	1	-2.07471e-008	0.999997	-6.14861e-007	0.999993	-1.84621e-006
59	95.9184	0	15	0.000944011	-0.415829	-0.207914	-3.1173e-018	-1.3555e-008	7.60142e-007	4.87838e-005	0.000306168	-99999	1	1e+030	59	-99	864000	1	6.99977	12.2203	0.0997043	-3.1173e-019	10	-0	1	-1.68297e-008	0.999998	-5.12223e-007	0.999994	-1.55695e-006
60	97.9592	0	15	0.000802698	-0.415829	-0.207914	-3.11809e-018	-1.24925e-008	6.20589e-007	4.08372e-005	0.000259182	-99999	1	1e+030	60	-99	864000	1	6.99977	12.2144	0.0997043	-3.11809e-019	10	-0	1	-1.374e-008	0.999998	-4.28802e-007	0.999996	-1.31813e-006
61	100	0	15	0.000738668	-0.415829	-0.207914	-3.11811e-018	-9.76564e-009	5.58334e-007	3.7259e-005	0.000237933	-99999	1	1e+030	61	-99	864000	1	6.99977	12.2109	0.0997043	-3.11811e-019	10	-0	1	-1.23617e-008	0.999999	-3.91238e-007	0.999996	-1.21012e-006
752	1.02041	0	15	1.17492e-008	-0.415829	-0.207914	-3.12097e-018	1.13427e-012	3.96102e-010	3.11007e-009	5.13686e-009	-99999	1	1e+030	752	-99	864000	1	6.99977	11.2022	0.0997043	-3.12097e-019	10	-1.13687e-013	1	-9.87421e-012	1	-3.34591e-011	1	-2.52751e-011
792	3.06122	0	15	6.57727e-008	-0.415829	-0.207914	-3.12036e-018	6.28389e-012	2.19873e-009	1.73423e-008	2.87642e-008	-99999	1	1e+030	792	-99	864000	1	6.99977	11.384	0.0997043	-3.12036e-019	10	-6.2883e-013	1	-5.48112e-011	1	-1.86602e-010	1	-1.41569e-010
814	5.10204	0	15	2.00166e-007	-0.415829	-0.207914	-3.12057e-018	1.87328e-011	6.58345e-009	5.23827e-008	8.75809e-008	-99999	1	1e+030	814	-99	864000	1	6.99977	11.5082	0.0997043	-3.12057e-019	10	-1.87406e-012	1	-1.64118e-010	1	-5.63795e-010	1	-4.31279e-010
817	7.14286	0	15	4.98872e-007	-0.415829	-0.207914	-3.12056e-018	4.52192e-011	1.60138e-008	1.29096e-007	2.18421e-007	-99999	1	1e+030	817	-99	864000	1	6.99977	11.6065	0.0997043	-3.12056e-019	10	-4.5226e-012	1	-3.99214e-010	1	-1.39004e-009	1	-1.07642e-009
831	0	0	14.8	0	-0.415829	-0.207914	-3.12057e-018	0	0	0	0	-99999	1	1e+030	831	-99	864000	1	6.99977	0.169199	0.0997043	-3.12057e-019	10	-0	1	-0	1	-0	1	-0
832	2.04082	0	14.8	3.30904e-008	-0.415829	-0.207914	-3.12036e-018	3.3402e-012	1.12992e-009	8.79477e-009	1.44551e-008	-99999	1	1e+030	832	-99	864000	1	6.99977	11.3053	0.0997043	-3.12036e-019	10	-3.33955e-013	1	-2.81646e-011	1	-9.45903e-011	1	-7.11009e-011
833	4.08163	0	14.8	1.22236e-007	-0.415829	-0.207914	-3.12037e-018	1.21495e-011	4.12247e-009	3.23025e-008	5.34193e-008	-99999	1	1e+030	833	-99	864000	1	6.99977	11.4504	0.0997043	-3.12037e-019	10	-1.21503e-012	1	-1.02758e-010	1	-3.47499e-010	1	-2.62865e-010
834	6.12245	0	14.8	3.30601e-007	-0.415829	-0.207914	-3.12057e-018	3.20047e-011	1.09239e-008	8.65461e-008	1.4457e-007	-99999	1	1e+030	834	-99	864000	1	6.99977	11.5594	0.0997043	-3.12057e-019	10	-3.201e-012	1	-2.72298e-010	1	-9.31368e-010	1	-7.11877e-010
835	8.16327	0	14.8	7.74384e-007	-0.415829	-0.207914	-3.12036e-018	7.21721e-011	2.48699e-008	2.00084e-007	3.38898e-007	-99999	1	1e+030	835	-99	864000	1	6.99977	11.6502	0.0997043	-3.12036e-019	10	-7.21734e-012	1	-6.19944e-010	1	-2.15427e-009	1	-1.67029e-009
836	10.2041	0	14.8	1.63674e-006	-0.415829	-0.207914	-3.12017e-018	1.44422e-010	5.0625e-008	4.15687e-007	7.16911e-007	-99999	1	1e+030	836	-99	864000	1	6.99977	11.7319	0.0997043	-3.12017e-019	10	-1.44418e-011	1	-1.26201e-009	1	-4.47852e-009	1	-3.5375e-009
837	12.2449	0	14.8	3.19857e-006	-0.415829	-0.207914	-3.12056e-018	2.63285e-010	9.45481e-008	7.9573e-007	1.40211e-006	-99999	1	1e+030	837	-99	864000	1	6.99977	11.8051	0.0997043	-3.12056e-019	10	-2.63292e-011	1	-2.35712e-009	1	-8.57954e-009	1	-6.92797e-009
838	14.2857	0	14.8	5.86872e-006	-0.415829	-0.207914	-3.12036e-018	4.44046e-010	1.64571e-007	1.42537e-006	2.57405e-006	-99999	1	1e+030	838	-99	864000	1	6.99977	11.8712	0.0997043	-3.12036e-019	10	-4.44054e-011	1	-4.10317e-009	1	-1.53816e-008	1	-1.27381e-008
839	16.3265	0	14.8	1.02125e-005	-0.415829	-0.207914	-3.12037e-018	7.00546e-010	2.69804e-007	2.41382e-006	4.48017e-006	-99999	1	1e+030	839	-99	864000	1	6.99977	11.9312	0.0997043	-3.12037e-019	10	-7.00542e-011	1	-6.7276e-009	0.999999	-2.60727e-008	1	-2.22076e-008
840	18.3673	0	14.8	1.69733e-005	-0.415829	-0.207914	-3.12057e-018	1.04341e-009	4.19836e-007	3.8924e-006	7.44377e-006	-99999	1	1e+030	840	-99	864000	1	6.99977	11.9855	0.0997043	-3.12057e-019	10	-1.04341e-010	1	-1.04698e-008	0.999999	-4.20856e-008	0.999999	-3.69627e-008
841	20.4082	0	14.8	2.70857e-005	-0.415829	-0.207914	-3.12037e-018	1.47875e-009	6.2388e-007	6.00972e-006	1.18668e-005	-99999	1	1e+030	841	-99	864000	1	6.99977	12.0347	0.0997043	-3.12037e-019	10	-1.47875e-010	1	-1.556e-008	0.999999	-6.50458e-008	0.999999	-5.90334e-008
