              x	              y	              z	           time	in	        Cl(mol/kgw)	
             10	              6	              3	             10	 1	   8.3274590013e-01	
              0	              7	              3	             10	 1	   1.0000000000e+00	
              1	              7	              3	             10	 1	   9.8650779157e-01	
              2	              7	              3	             10	 1	   9.6962606957e-01	
              3	              7	              3	             10	 1	   9.4952607124e-01	
              4	              7	              3	             10	 1	   9.2663004067e-01	
              5	              7	              3	             10	 1	   9.0169868567e-01	
              6	              7	              3	             10	 1	   8.8231727255e-01	
              7	              7	              3	             10	 1	   8.6463973040e-01	
              8	              7	              3	             10	 1	   8.5005156889e-01	
              9	              7	              3	             10	 1	   8.4010772355e-01	
             10	              7	              3	             10	 1	   8.3650131213e-01	
              0	              8	              3	             10	 1	   1.0000000000e+00	
              1	              8	              3	             10	 1	   9.8636346640e-01	
              2	              8	              3	             10	 1	   9.6941310619e-01	
              3	              8	              3	             10	 1	   9.4940652013e-01	
              4	              8	              3	             10	 1	   9.2682038139e-01	
              5	              8	              3	             10	 1	   9.0240818567e-01	
              6	              8	              3	             10	 1	   8.8347115214e-01	
              7	              8	              3	             10	 1	   8.6624113773e-01	
              8	              8	              3	             10	 1	   8.5206487820e-01	
              9	              8	              3	             10	 1	   8.4242965584e-01	
             10	              8	              3	             10	 1	   8.3894152927e-01	
              0	              9	              3	             10	 1	   1.0000000000e+00	
              1	              9	              3	             10	 1	   9.8631308798e-01	
              2	              9	              3	             10	 1	   9.6934661155e-01	
              3	              9	              3	             10	 1	   9.4940165169e-01	
              4	              9	              3	             10	 1	   9.2698170521e-01	
              5	              9	              3	             10	 1	   9.0283653515e-01	
              6	              9	              3	             10	 1	   8.8414458636e-01	
              7	              9	              3	             10	 1	   8.6716513185e-01	
              8	              9	              3	             10	 1	   8.5321636814e-01	
              9	              9	              3	             10	 1	   8.4374817780e-01	
             10	              9	              3	             10	 1	   8.4032316031e-01	
              0	             10	              3	             10	 1	   1.0000000000e+00	
              1	             10	              3	             10	 1	   9.8630140084e-01	
              2	             10	              3	             10	 1	   9.6933336455e-01	
              3	             10	              3	             10	 1	   9.4940991083e-01	
              4	             10	              3	             10	 1	   9.2704263771e-01	
              5	             10	              3	             10	 1	   9.0298056882e-01	
              6	             10	              3	             10	 1	   8.8436654398e-01	
              7	             10	              3	             10	 1	   8.6746746258e-01	
              8	             10	              3	             10	 1	   8.5359142984e-01	
              9	             10	              3	             10	 1	   8.4417624747e-01	
             10	             10	              3	             10	 1	   8.4077114908e-01	
              0	              0	              4	             10	 1	   1.0000000000e+00	
              1	              0	              4	             10	 1	   9.9026889342e-01	
              2	              0	              4	             10	 1	   9.7558589470e-01	
              3	              0	              4	             10	 1	   9.5558579585e-01	
              4	              0	              4	             10	 1	   9.2965690895e-01	
              5	              0	              4	             10	 1	   8.9660484133e-01	
              6	              0	              4	             10	 1	   8.7415833797e-01	
              7	              0	              4	             10	 1	   8.5269018559e-01	
              8	              0	              4	             10	 1	   8.3416661753e-01	
