              x	              y	              z	           time	in	                  A	                  B	                  C	                  D	
            112	           -3.5	             -5	            400	 1	   0.0000000000e+00	   7.6470479943e-10	   5.0663075823e-08	   3.1486492549e-07	
            116	           -3.5	             -5	            400	 1	   0.0000000000e+00	   4.6651989446e-10	   3.1347388788e-08	   1.9613701013e-07	
            120	           -3.5	             -5	            400	 1	   0.0000000000e+00	   2.7515298679e-10	   1.8726758210e-08	   1.1789160657e-07	
            124	           -3.5	             -5	            400	 1	   0.0000000000e+00	   1.5705621458e-10	   1.0814259554e-08	   6.8461808095e-08	
            128	           -3.5	             -5	            400	 1	   0.0000000000e+00	   8.6843775246e-11	   6.0435448022e-09	   3.8456651898e-08	
            132	           -3.5	             -5	            400	 1	   0.0000000000e+00	   4.6561648307e-11	   3.2719342101e-09	   2.0918618209e-08	
            136	           -3.5	             -5	            400	 1	   0.0000000000e+00	   2.4227193304e-11	   1.7177597714e-09	   1.1030130826e-08	
            140	           -3.5	             -5	            400	 1	   0.0000000000e+00	   1.2245083093e-11	   8.7541422972e-10	   5.6439302175e-09	
            144	           -3.5	             -5	            400	 1	   0.0000000000e+00	   5.9970251452e-12	   4.3207143821e-10	   2.7960688074e-09	
            148	           -3.5	             -5	            400	 1	   0.0000000000e+00	   3.1213935347e-12	   2.2642316231e-10	   1.4698206535e-09	
            150	           -3.5	             -5	            400	 1	   0.0000000000e+00	   2.5863830958e-12	   1.8807471498e-10	   1.2222184262e-09	
              0	           -2.5	             -5	            400	 1	   0.0000000000e+00	   0.0000000000e+00	   0.0000000000e+00	   0.0000000000e+00	
              4	           -2.5	             -5	            400	 1	   0.0000000000e+00	   0.0000000000e+00	   0.0000000000e+00	   0.0000000000e+00	
              8	           -2.5	             -5	            400	 1	   0.0000000000e+00	   0.0000000000e+00	   0.0000000000e+00	   7.7000040244e-14	
             12	           -2.5	             -5	            400	 1	   0.0000000000e+00	   1.0112826879e-12	   2.0700883263e-14	   0.0000000000e+00	
             16	           -2.5	             -5	            400	 1	   4.9229245433e-14	   1.7507565835e-11	   8.6432258621e-11	   4.9525917692e-11	
             20	           -2.5	             -5	            400	 1	   1.8221615663e-13	   8.9179618876e-11	   7.4498631874e-10	   1.0451020756e-09	
             24	           -2.5	             -5	            400	 1	   3.9342834165e-13	   2.8956373667e-10	   3.2533240717e-09	   6.3025850034e-09	
             28	           -2.5	             -5	            400	 1	   6.7101065516e-13	   7.2173566237e-10	   1.0158410023e-08	   2.4293346725e-08	
             32	           -2.5	             -5	            400	 1	   9.7679661516e-13	   1.4982562296e-09	   2.5533188555e-08	   7.1723720921e-08	
             36	           -2.5	             -5	            400	 1	   1.2587918160e-12	   2.7094008084e-09	   5.4702102652e-08	   1.7500852173e-07	
             40	           -2.5	             -5	            400	 1	   1.4694196995e-12	   4.3884503794e-09	   1.0317718536e-07	   3.6750497766e-07	
             44	           -2.5	             -5	            400	 1	   1.5792351065e-12	   6.4844002063e-09	   1.7482429136e-07	   6.8084802976e-07	
             48	           -2.5	             -5	            400	 1	   1.5818755994e-12	   8.8513815322e-09	   2.6972011409e-07	   1.1316174737e-06	
             52	           -2.5	             -5	            400	 1	   1.4909450129e-12	   1.1260833158e-08	   3.8254415586e-07	   1.7080579543e-06	
             56	           -2.5	             -5	            400	 1	   1.3323212202e-12	   1.3436931924e-08	   5.0238792059e-07	   2.3633268167e-06	
             60	           -2.5	             -5	            400	 1	   1.1357169865e-12	   1.5108633189e-08	   6.1441971318e-07	   3.0200784036e-06	
             64	           -2.5	             -5	            400	 1	   9.2810564456e-13	   1.6065208230e-08	   7.0307970339e-07	   3.5865240536e-06	
             68	           -2.5	             -5	            400	 1	   7.3001442693e-13	   1.6199582053e-08	   7.5578757204e-07	   3.9788778013e-06	
             72	           -2.5	             -5	            400	 1	   5.5445652607e-13	   1.5526984972e-08	   7.6589697328e-07	   4.1421808498e-06	
             76	           -2.5	             -5	            400	 1	   4.0766850070e-13	   1.4174495943e-08	   7.3394673906e-07	   4.0623457831e-06	
             80	           -2.5	             -5	            400	 1	   2.9073852821e-13	   1.2346525613e-08	   6.6695017390e-07	   3.7661563727e-06	
             84	           -2.5	             -5	            400	 1	   2.0141603132e-13	   1.0278161898e-08	   5.7617612006e-07	   3.3107099150e-06	
             88	           -2.5	             -5	            400	 1	   1.3564641353e-13	   8.1901510858e-09	   4.7430074435e-07	   2.7671637618e-06	
             92	           -2.5	             -5	            400	 1	   8.9967363146e-14	   6.2562224545e-09	   3.7283063742e-07	   2.2045161894e-06	
             96	           -2.5	             -5	            400	 1	   4.2926074274e-14	   4.5875852286e-09	   2.8040153616e-07	   1.6777667143e-06	
            100	           -2.5	             -5	            400	 1	   0.0000000000e+00	   3.2336322502e-09	   2.0213856460e-07	   1.2223055645e-06	
            104	           -2.5	             -5	            400	 1	   0.0000000000e+00	   2.1937772291e-09	   1.3991054873e-07	   8.5403103666e-07	
            108	           -2.5	             -5	            400	 1	   0.0000000000e+00	   1.4342472216e-09	   9.3124810601e-08	   5.7327522974e-07	
            112	           -2.5	             -5	            400	 1	   0.0000000000e+00	   9.0468086127e-10	   5.9693668702e-08	   3.7028819244e-07	
            116	           -2.5	             -5	            400	 1	   0.0000000000e+00	   5.5117960583e-10	   3.6900342668e-08	   2.3048511646e-07	
            120	           -2.5	             -5	            400	 1	   0.0000000000e+00	   3.2469854863e-10	   2.2025401427e-08	   1.3844092073e-07	
            124	           -2.5	             -5	            400	 1	   0.0000000000e+00	   1.8513882983e-10	   1.2709389713e-08	   8.0344233144e-08	
            128	           -2.5	             -5	            400	 1	   0.0000000000e+00	   1.0227354275e-10	   7.0976779814e-09	   4.5105105586e-08	
            132	           -2.5	             -5	            400	 1	   0.0000000000e+00	   5.4786709035e-11	   3.8401830760e-09	   2.4521973773e-08	
            136	           -2.5	             -5	            400	 1	   0.0000000000e+00	   2.8484444953e-11	   2.0149101286e-09	   1.2923770384e-08	
            140	           -2.5	             -5	            400	 1	   0.0000000000e+00	   1.4386570006e-11	   1.0262975205e-09	   6.6098602753e-09	
            144	           -2.5	             -5	            400	 1	   0.0000000000e+00	   7.0414271639e-12	   5.0629217647e-10	   3.2732218638e-09	
            148	           -2.5	             -5	            400	 1	   0.0000000000e+00	   3.6634578364e-12	   2.6521229856e-10	   1.7200522049e-09	
            150	           -2.5	             -5	            400	 1	   0.0000000000e+00	   3.0351334161e-12	   2.2026381458e-10	   1.4301237706e-09	
              0	           -1.5	             -5	            400	 1	   0.0000000000e+00	   0.0000000000e+00	   0.0000000000e+00	   0.0000000000e+00	
              4	           -1.5	             -5	            400	 1	   0.0000000000e+00	   0.0000000000e+00	   0.0000000000e+00	   2.2936866626e-14	
              8	           -1.5	             -5	            400	 1	   0.0000000000e+00	   0.0000000000e+00	   0.0000000000e+00	   1.0544843016e-13	
             12	           -1.5	             -5	            400	 1	   0.0000000000e+00	   2.3915368661e-12	   4.8954586167e-14	   0.0000000000e+00	
             16	           -1.5	             -5	            400	 1	   1.1410764850e-13	   3.1324132648e-11	   1.6188232437e-10	   1.1731676929e-10	
             20	           -1.5	             -5	            400	 1	   3.3443040791e-13	   1.4756668823e-10	   1.2236102717e-09	   1.7541862154e-09	
             24	           -1.5	             -5	            400	 1	   6.8114845590e-13	   4.5718241273e-10	   5.0186625583e-09	   9.6557955905e-09	
             28	           -1.5	             -5	            400	 1	   1.1248957329e-12	   1.1003004020e-09	   1.5025589578e-08	   3.5334518941e-08	
             32	           -1.5	             -5	            400	 1	   1.5963138521e-12	   2.2195309425e-09	   3.6576908034e-08	   1.0066262205e-07	
             36	           -1.5	             -5	            400	 1	   2.0113944012e-12	   3.9164137250e-09	   7.6373827057e-08	   2.3922275299e-07	
             40	           -1.5	             -5	            400	 1	   2.3001192648e-12	   6.2089781621e-09	   1.4105051165e-07	   4.9231598238e-07	
             44	           -1.5	             -5	            400	 1	   2.4252158908e-12	   9.0031791451e-09	   2.3487540936e-07	   8.9785159947e-07	
             48	           -1.5	             -5	            400	 1	   2.3862056007e-12	   1.2087687265e-08	   3.5718905578e-07	   1.4738922578e-06	
             52	           -1.5	             -5	            400	 1	   2.2115470950e-12	   1.5156640016e-08	   5.0060060064e-07	   2.2027660629e-06	
             56	           -1.5	             -5	            400	 1	   1.9452086539e-12	   1.7858525660e-08	   6.5096885505e-07	   3.0235838990e-06	
             60	           -1.5	             -5	            400	 1	   1.6335971053e-12	   1.9861748952e-08	   7.8963090471e-07	   3.8387714161e-06	
             64	           -1.5	             -5	            400	 1	   1.3163356343e-12	   2.0920868726e-08	   8.9741858116e-07	   4.5344514416e-06	
             68	           -1.5	             -5	            400	 1	   1.0217899261e-12	   2.0925392014e-08	   9.5919138508e-07	   5.0082073139e-06	
             72	           -1.5	             -5	            400	 1	   7.6651452775e-13	   1.9917420052e-08	   9.6735211423e-07	   5.1943757414e-06	
             76	           -1.5	             -5	            400	 1	   5.5711248788e-13	   1.8074204734e-08	   9.2322676937e-07	   5.0782377654e-06	
             80	           -1.5	             -5	            400	 1	   3.9307946122e-13	   1.5662752904e-08	   8.3604394097e-07	   4.6953413296e-06	
