x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
1.07344	0.875	1	0.299649	0.000705552	0.210659	0	0	1.40896e-009	0.000149072	0	0	0	0.0296119	0	9.99926	0.000748653	0	0.299649	0.29922	0.300393	0	0	10	0	0	0	0	5	0.5	38	1.00321	-0.117709	-0.207247	-0.599952	0.299362	0.299361	-0.00134443	
1.08231	0.853125	1	0.2963	0.00071588	0.202772	2.64548e-024	0	1.38863e-009	0.000145591	3.68449e-021	0	0.000591414	0.0305393	9.93767e-027	9.99925	0.000752732	7.16665e-014	0.2963	0.310878	0.297063	0.000591414	0	10	0	0	0	0	5	0.5	39	1.00676	-0.101519	-0.207915	-0.573473	0.295577	0.295591	0.00101239	
1	0.7875	1	0.299164	0.000705886	0.208218	6.70295e-024	0	1.40829e-009	0.000147414	9.46772e-021	0	0.00153378	0.0287298	7.13927e-026	9.99926	0.000741027	1.89407e-013	0.299164	0.29651	0.299898	0.00153378	0	10	0	0	0	0	3.75	0.375	40	1.00062	-0.115433	-0.207913	-0.598615	0.299168	0.299161	0.00152509	
1.05666	0.80625	1	0.299105	0.000706473	0.208542	4.46787e-024	0	1.40712e-009	0.000147766	6.30549e-021	0	0.00103055	0.0291052	3.15089e-026	9.99926	0.000744034	1.25935e-013	0.299105	0.298261	0.299841	0.00103055	0	10	0	0	0	0	5	0.5	41	1.00515	-0.115598	-0.207913	-0.598029	0.299085	0.299077	0.00102756	
1.07479	0.826783	1	0.298167	0.000710028	0.207124	1.36474e-024	0	1.40008e-009	0.0001475	1.91641e-021	0	0.000314664	0.0299835	2.82418e-027	9.99925	0.000750187	3.78927e-014	0.298167	0.304201	0.298917	0.000314664	0	10	0	0	0	0	5	0.5	42	1.00746	-0.111152	-0.207913	-0.589368	0.297848	0.297849	0.000496922	
1	0.84375	1	0.298414	0.000708694	0.20702	4.53311e-024	0	1.40271e-009	0.000147149	6.37751e-021	0	0.00103578	0.0293801	3.16315e-026	9.99926	0.000745589	1.26577e-013	0.298414	0.301037	0.29916	0.00103578	0	10	0	0	0	0	3.75	0.375	43	0.999615	-0.111906	-0.207913	-0.591827	0.298199	0.2982	0.00114872	
1.06229	0.857745	1	0.299112	0.000706946	0.209129	1.68855e-024	0	1.40618e-009	0.000148282	2.38145e-021	0	0.000393828	0.0295487	4.4765e-027	9.99926	0.000747628	4.74996e-014	0.299112	0.300161	0.299853	0.000393828	0	10	0	0	0	0	5	0.5	44	1.00368	-0.116164	-0.207922	-0.597898	0.299066	0.29906	0.000398618	
1.03125	0.9	1	0.285781	0.000751149	0.17772	1.50271e-023	0	1.32343e-009	0.00013389	1.99463e-020	0	0.00274151	0.0332586	2.18241e-025	9.99924	0.000762125	3.52393e-013	0.285781	0.346723	0.286616	0.00274151	0	10	0	0	0	0	3.92857	0.392857	45	0.990949	-0.0495489	-0.207912	-0.487897	0.283352	0.283432	0.0038789	
1.05904	0.838429	1	0.299154	0.000706643	0.209024	2.63755e-024	0	1.40678e-009	0.000148143	3.72147e-021	0	0.000613187	0.0293781	1.09597e-026	9.99926	0.000746292	7.42905e-014	0.299154	0.299328	0.299892	0.000613187	0	10	0	0	0	0	5	0.5	46	1.00454	-0.116205	-0.207913	-0.598353	0.299131	0.299124	0.000605022	
1.03183	0.85294	1	0.299194	0.00070631	0.208876	3.78661e-024	0	1.40745e-009	0.000147969	5.34526e-021	0	0.0008768	0.0291779	2.26743e-026	9.99926	0.00074471	1.06806e-013	0.299194	0.298374	0.299933	0.0008768	0	10	0	0	0	0	5	0.5	47	1.00113	-0.116158	-0.207912	-0.598747	0.299187	0.299182	0.000871615	
1.04841	0.878942	1	0.301955	0.000698315	0.215728	0	0	1.42356e-009	0.000151093	0	0	0	0.028686	0	9.99928	0.000743318	0	0.301955	0.28994	0.302681	0	0	10	0	0	0	0	5	0.499999	48	1.00004	-0.129665	-0.207315	-0.620499	0.302297	0.30228	-0.00137316	
1.1	0.80625	1	0.287213	0.000744004	0.177698	3.56871e-023	0	1.33614e-009	0.0001326	4.78244e-020	0	0.00626418	0.0302159	1.32867e-024	9.99926	0.000740493	8.61229e-013	0.287213	0.330314	0.288012	0.00626418	0	10	0	0	0	0	3.75	0.375	49	1.01223	-0.0531959	-0.207913	-0.500537	0.285157	0.285223	0.00749976	
1.0628	0.769093	1	0.299014	0.000706496	0.208032	5.99772e-024	0	1.40708e-009	0.00014741	8.46429e-021	0	0.00137348	0.0289017	5.67666e-026	9.99926	0.000742288	1.69041e-013	0.299014	0.297591	0.299748	0.00137348	0	10	0	0	0	0	5	0.5	50	1.00699	-0.114815	-0.207913	-0.597284	0.298978	0.29897	0.001386	
1	0.871875	1	0.296112	0.000715981	0.201692	6.05833e-024	0	1.38844e-009	0.000144836	8.43656e-021	0	0.00133361	0.0300965	5.20585e-026	9.99925	0.000749041	1.64052e-013	0.296112	0.309407	0.296877	0.00133361	0	10	0	0	0	0	3.92857	0.392857	51	0.998002	-0.100025	-0.207913	-0.572119	0.295383	0.295402	0.0017169	
1.03393	0.82411	1	0.299144	0.000706193	0.20845	5.3402e-024	0	1.40768e-009	0.000147642	7.53959e-021	0	0.00122817	0.0289516	4.51569e-026	9.99926	0.000742822	1.50702e-013	0.299144	0.297511	0.29988	0.00122817	0	10	0	0	0	0	5	0.5	52	1.00225	-0.115647	-0.207913	-0.598452	0.299145	0.299138	0.00121843	
1.07833	0.805385	1	0.297338	0.000712221	0.204704	4.34768e-024	0	1.39577e-009	0.000146227	6.08635e-021	0	0.000979709	0.0298509	2.79637e-026	9.99925	0.000748311	1.19604e-013	0.297338	0.305532	0.29809	0.000979709	0	10	0	0	0	0	5	0.5	53	1.00855	-0.10657	-0.207913	-0.582689	0.296893	0.2969	0.00124584	
1.06681	0.788844	1	0.299015	0.000706744	0.208324	4.57449e-024	0	1.40658e-009	0.000147668	6.45349e-021	0	0.00105344	0.0291253	3.29296e-026	9.99926	0.00074411	1.28792e-013	0.299015	0.298553	0.299752	0.00105344	0	10	0	0	0	0	5	0.5	54	1.007	-0.115103	-0.207913	-0.597236	0.298972	0.298964	0.00106794	
1.08977	0.790625	1	0.29522	0.000718351	0.198977	1.01369e-023	0	1.38386e-009	0.000143359	1.40696e-020	0	0.00217099	0.0298678	1.41943e-025	9.99926	0.000746317	2.71786e-013	0.29522	0.310463	0.295983	0.00217099	0	10	0	0	0	0	5	0.5	55	1.01118	-0.0950813	-0.207913	-0.565188	0.294393	0.294414	0.00269146	
1.03891	0.784227	1	0.299122	0.000705927	0.208026	7.21304e-024	0	1.40821e-009	0.000147287	1.01876e-020	0	0.00164631	0.0286672	8.26329e-026	9.99926	0.000740474	2.03785e-013	0.299122	0.296332	0.299854	0.00164631	0	10	0	0	0	0	5	0.5	56	1.00347	-0.115139	-0.207913	-0.598293	0.299123	0.299114	0.00163963	
1.08112	0.773803	1	0.297475	0.000711375	0.204524	6.77736e-024	0	1.39743e-009	0.000145924	9.49896e-021	0	0.00151596	0.0294204	6.8601e-026	9.99926	0.000744991	1.87111e-013	0.297475	0.30336	0.298223	0.00151596	0	10	0	0	0	0	5	0.5	57	1.01038	-0.106896	-0.207913	-0.584141	0.297101	0.297106	0.00175504	
1.1	0.7125	1	0.294329	0.000720419	0.195843	1.68383e-023	0	1.37988e-009	0.000141508	2.33038e-020	0	0.0034783	0.0293097	3.82745e-025	9.99926	0.000740929	4.47585e-013	0.294329	0.310095	0.29509	0.0034783	0	10	0	0	0	0	3.75	0.375	58	1.01413	-0.0896939	-0.207913	-0.558226	0.293399	0.293422	0.00409308	
1.1	0.74375	1	0.292352	0.000726678	0.190771	2.1681e-023	0	1.368e-009	0.00013904	2.97475e-020	0	0.00428537	0.0295386	5.92135e-025	9.99926	0.000740714	5.61548e-013	0.292352	0.315615	0.293123	0.00428537	0	10	0	0	0	0	3.57143	0.357143	59	1.01392	-0.07942	-0.207913	-0.542059	0.291089	0.291125	0.00509117	
1.07735	0.750481	1	0.298581	0.000708029	0.20724	5.24453e-024	0	1.40403e-009	0.000147167	7.38532e-021	0	0.00119767	0.0291989	4.26581e-026	9.99926	0.000744285	1.46854e-013	0.298581	0.299867	0.299321	0.00119767	0	10	0	0	0	0	5	0.5	60	1.00993	-0.112682	-0.207913	-0.59342	0.298426	0.298423	0.00129609	
