x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	pe	pH	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
1.06229	0.857745	1	0.210388	0.0995766	1.12279e-010	0.00493593	0	9.98321e-012	1.12135e-011	0.0494226	1.36927e-014	0.0701293	1.40574e-008	0.246874	2.70859	3.0385e-007	3.6457	0.210388	-12.5814	0.210388	4.26394	0	10	4.37631	0	0	0	5	0.5	44	18.967	1.00056	1.16123	0.404085	-0.207913	-0.422544	0.211272	0.211271	0.608642	
1.03125	0.9	1	0.213596	0.0985538	1.16013e-010	0.00473429	0	1.00868e-011	1.14674e-011	0.0478955	1.30104e-014	0.0711986	1.39858e-008	0.246672	2.72087	3.0576e-007	3.63956	0.213596	-12.5566	0.213596	4.25673	0	10	4.06227	0	0	0	3.92857	0.392857	45	18.9625	1.00504	1.18239	0.38815	-0.207913	-0.428895	0.214447	0.214447	0.58953	
1.05904	0.838429	1	0.20986	0.0996731	1.11907e-010	0.00495359	0	9.97355e-012	1.11872e-011	0.0495514	1.37411e-014	0.0699532	1.40536e-008	0.246725	2.70783	3.03639e-007	3.64608	0.20986	-12.5821	0.20986	4.26399	0	10	4.39583	0	0	0	5	0.5	46	18.9674	1.00014	1.15563	0.404375	-0.207913	-0.421498	0.210749	0.210749	0.609454	
1.03183	0.85294	1	0.212036	0.0993707	1.13141e-010	0.00490225	0	1.00039e-011	1.12762e-011	0.0491871	1.36297e-014	0.0706787	1.40888e-008	0.247584	2.70932	3.04367e-007	3.64534	0.212036	-12.5838	0.212037	4.26528	0	10	4.34609	0	0	0	5	0.5	47	18.9662	1.00146	1.16489	0.406342	-0.207913	-0.425809	0.212904	0.212904	0.609266	
1.04841	0.878942	1	0.211786	0.0992933	1.13361e-010	0.00488316	0	1.00117e-011	1.12894e-011	0.0490338	1.35395e-014	0.0705954	1.40613e-008	0.247196	2.7111	3.04449e-007	3.64445	0.211786	-12.5783	0.211787	4.26335	0	10	4.35109	0	0	0	5	0.5	48	18.9658	1.00179	1.17002	0.402377	-0.207913	-0.425313	0.212656	0.212656	0.605549	
1.1	0.80625	1	0.207214	0.0997183	1.11442e-010	0.00494365	0	9.96903e-012	1.11458e-011	0.0494296	1.35771e-014	0.0690713	1.39421e-008	0.244847	2.71168	3.03219e-007	3.64416	0.207214	-12.5647	0.207214	4.2573	0	10	4.44335	0	0	0	3.75	0.375	49	18.9675	0.999939	1.14534	0.391228	-0.207913	-0.416257	0.208128	0.208128	0.598928	
1.0628	0.769093	1	0.206165	0.100243	1.09664e-010	0.0050545	0	9.91682e-012	1.10257e-011	0.0502732	1.39827e-014	0.0687217	1.40016e-008	0.24542	2.70435	3.02299e-007	3.64783	0.206165	-12.582	0.206165	4.26272	0	10	4.45137	0	0	0	5	0.5	50	18.9698	0.997659	1.12619	0.402906	-0.207913	-0.414183	0.207091	0.207091	0.611644	
1	0.871875	1	0.214531	0.0985543	1.16125e-010	0.00474113	0	1.00868e-011	1.14786e-011	0.0479645	1.30793e-014	0.0715104	1.40272e-008	0.247375	2.71924	3.05876e-007	3.64038	0.214531	-12.5635	0.214532	4.25935	0	10	4.11284	0	0	0	3.92857	0.392857	51	18.9625	1.00504	1.18031	0.393236	-0.207913	-0.430749	0.215374	0.215374	0.59369	
1.03393	0.82411	1	0.211198	0.0995212	1.12555e-010	0.00492959	0	9.98878e-012	1.12348e-011	0.0493866	1.3704e-014	0.0703993	1.40825e-008	0.247341	2.70815	3.04038e-007	3.64592	0.211198	-12.5848	0.211198	4.26532	0	10	4.38573	0	0	0	5	0.5	52	18.9668	1.0008	1.15608	0.406713	-0.207913	-0.424149	0.212074	0.212074	0.610467	
1.07833	0.805385	1	0.20779	0.0998308	1.11156e-010	0.00497336	0	9.9578e-012	1.11297e-011	0.0496706	1.37258e-014	0.0692634	1.39917e-008	0.245573	2.7087	3.0313e-007	3.64565	0.20779	-12.5743	0.207791	4.26071	0	10	4.44073	0	0	0	5	0.5	53	18.968	0.999449	1.14494	0.398159	-0.207913	-0.417399	0.208699	0.208699	0.605288	
1.06681	0.788844	1	0.207264	0.100059	1.10374e-010	0.00502089	0	9.93513e-012	1.10766e-011	0.0500311	1.38965e-014	0.0690879	1.40145e-008	0.245768	2.70564	3.02723e-007	3.64718	0.207264	-12.5813	0.207264	4.26285	0	10	4.44435	0	0	0	5	0.5	54	18.969	0.99846	1.13618	0.402839	-0.207913	-0.416358	0.208179	0.208179	0.610489	
1.08977	0.790625	1	0.206211	0.100006	1.10411e-010	0.00500088	0	9.94034e-012	1.10745e-011	0.0498579	1.37644e-014	0.0687371	1.39552e-008	0.244837	2.70841	3.02657e-007	3.6458	0.206211	-12.571	0.206212	4.25907	0	10	4.48161	0	0	0	5	0.5	55	18.9687	0.998687	1.136	0.395212	-0.207913	-0.414272	0.207136	0.207136	0.603904	
1.03891	0.784227	1	0.209158	0.0998711	1.11193e-010	0.00499292	0	9.95378e-012	1.11379e-011	0.0498458	1.38706e-014	0.0697193	1.40627e-008	0.24671	2.7056	3.03254e-007	3.6472	0.209158	-12.5864	0.209158	4.26518	0	10	4.42199	0	0	0	5	0.5	56	18.9683	0.999274	1.13946	0.407099	-0.207913	-0.42011	0.210055	0.210055	0.612873	
1.08112	0.773803	1	0.205048	0.100283	1.09406e-010	0.00505477	0	9.91293e-012	1.10041e-011	0.0502562	1.39302e-014	0.0683492	1.39578e-008	0.244678	2.70563	3.02086e-007	3.64719	0.205048	-12.5756	0.205048	4.2602	0	10	4.49342	0	0	0	5	0.5	57	18.9699	0.997488	1.12479	0.397957	-0.207913	-0.411968	0.205984	0.205984	0.607801	
1.1	0.7125	1	0.201282	0.100786	1.07404e-010	0.00514079	0	9.86347e-012	1.08568e-011	0.0508564	1.41004e-014	0.0670939	1.38827e-008	0.243149	2.7035	3.00804e-007	3.64825	0.201282	-12.5716	0.201282	4.25764	0	10	4.55223	0	0	0	3.75	0.375	58	18.972	0.995316	1.10121	0.393667	-0.207913	-0.404511	0.202255	0.202255	0.60724	
1.1	0.74375	1	0.203114	0.100473	1.08582e-010	0.00508328	0	9.89413e-012	1.09419e-011	0.0504438	1.39541e-014	0.0677048	1.39062e-008	0.243715	2.70571	3.01532e-007	3.64715	0.203114	-12.5703	0.203115	4.25781	0	10	4.54704	0	0	0	3.57143	0.357143	59	18.9707	0.996664	1.11517	0.39349	-0.207913	-0.408139	0.204069	0.204069	0.605249	
1.07735	0.750481	1	0.204111	0.100461	1.08742e-010	0.00508823	0	9.89537e-012	1.09567e-011	0.0504992	1.40226e-014	0.0680368	1.39502e-008	0.244436	2.70417	3.01691e-007	3.64792	0.204111	-12.5771	0.204111	4.26041	0	10	4.4926	0	0	0	5	0.5	60	18.9707	0.996718	1.11628	0.398683	-0.207913	-0.410113	0.205056	0.205056	0.609455	
1.1	0.68125	1	0.19956	0.101135	1.0614e-010	0.00520841	0	9.82937e-012	1.07663e-011	0.0513472	1.42922e-014	0.0665199	1.38704e-008	0.242768	2.70044	3.0003e-007	3.64978	0.19956	-12.5756	0.19956	4.25839	0	10	4.53445	0	0	0	3.75	0.375	61	18.9735	0.993812	1.08774	0.393507	-0.207913	-0.401101	0.20055	0.20055	0.608785	
1.08303	0.728125	1	0.202604	0.100666	1.07929e-010	0.00512364	0	9.87519e-012	1.0897e-011	0.050747	1.40948e-014	0.0675348	1.39211e-008	0.243835	2.70324	3.01172e-007	3.64838	0.202604	-12.5758	0.202605	4.25945	0	10	4.50406	0	0	0	5	0.5	62	18.9715	0.995832	1.10606	0.397113	-0.207913	-0.407131	0.203565	0.203565	0.609376	
1	0.73125	1	0.210306	0.0997164	1.11823e-010	0.00496672	0	9.96922e-012	1.11836e-011	0.0496611	1.38161e-014	0.0701021	1.40829e-008	0.247174	2.7063	3.03634e-007	3.64685	0.210306	-12.5875	0.210307	4.26593	0	10	4.49184	0	0	0	3.75	0.375	63	18.9677	0.999947	1.12727	0.408207	-0.207913	-0.422388	0.211194	0.211194	0.612842	
1.05667	0.682477	1	0.202149	0.10109	1.06588e-010	0.00521893	0	9.83372e-012	1.0807e-011	0.0514737	1.44653e-014	0.0673829	1.39849e-008	0.244614	2.69663	3.00472e-007	3.65168	0.202149	-12.5928	0.202149	4.26499	0	10	4.40258	0	0	0	5	0.5	64	18.9734	0.994004	1.08945	0.400971	-0.207913	-0.406232	0.203115	0.203115	0.613684	
1.06606	0.735712	1	0.204195	0.100522	1.08564e-010	0.00510295	0	9.88936e-012	1.09454e-011	0.0506146	1.40872e-014	0.0680649	1.39666e-008	0.24466	2.70295	3.01612e-007	3.64852	0.204195	-12.5807	0.204195	4.26163	0	10	4.45712	0	0	0	5	0.5	65	18.971	0.996454	1.11119	0.401224	-0.207913	-0.410282	0.20514	0.20514	0.611912	
1.0269	0.689646	1	0.205356	0.100495	1.08787e-010	0.00510591	0	9.892e-012	1.0965e-011	0.0506575	1.41559e-014	0.068452	1.40154e-008	0.245468	2.70138	3.01814e-007	3.64931	0.205356	-12.588	0.205356	4.26446	0	10	4.44228	0	0	0	5	0.5	66	18.9709	0.99657	1.09872	0.406029	-0.207913	-0.412585	0.206292	0.206292	0.615565	
