              x	              y	              z	           time	in	                 pH	                 Ca	                 Mg	                 Na	                 Cl	               C(4)	                SO4	                 As	                vol	                sat	                 pv	                por	      trans_cell_no	                 vx	                 vy	                 vz	
          24000	           3000	              0	         500000	 1	   8.5851263826e+00	   1.8545633638e+00	   7.8701333057e-01	   2.0110308809e+02	   4.7856431966e+00	   5.0459817747e+02	   2.2567053918e+01	   8.9171211821e+01	   2.2500000000e+11	   1.0000000000e+00	   4.9500000000e+10	   2.2000000000e-01	   4.0000000000e+01	  -2.4129427292e-01	  -4.8684020532e-01	   0.0000000000e+00	
          27000	           3000	              0	         500000	 1	   8.4559699587e+00	   2.4199071194e+00	   1.0398430116e+00	   1.9669677694e+02	   4.7564625173e+00	   5.0027490534e+02	   2.2566994168e+01	   5.1505485861e+01	   2.2500000000e+11	   1.0000000000e+00	   4.9500000000e+10	   2.2000000000e-01	   4.1000000000e+01	  -2.4112425522e-01	  -5.1169766383e-01	   0.0000000000e+00	
          30000	           3000	              0	         500000	 1	   8.3741924070e+00	   2.8777246906e+00	   1.2445883532e+00	   1.9401373114e+02	   4.7457577829e+00	   4.9793662406e+02	   2.2566969644e+01	   3.6335447573e+01	   2.2500000000e+11	   1.0000000000e+00	   4.9500000000e+10	   2.2000000000e-01	   4.2000000000e+01	  -2.3936800771e-01	  -5.3143257257e-01	   0.0000000000e+00	
          33000	           3000	              0	         500000	 1	   8.3597512327e+00	   2.9682643450e+00	   1.2850806402e+00	   1.9351801214e+02	   4.7419256819e+00	   4.9752194553e+02	   2.2566961671e+01	   3.4149224457e+01	   2.2500000000e+11	   1.0000000000e+00	   4.9500000000e+10	   2.2000000000e-01	   4.3000000000e+01	  -2.4652813152e-01	  -5.3821221600e-01	   0.0000000000e+00	
          36000	           3000	              0	         500000	 1	   8.3606402667e+00	   2.9626621290e+00	   1.2825757055e+00	   1.9353441238e+02	   4.7405895960e+00	   4.9753003478e+02	   2.2566959286e+01	   3.4270650433e+01	   2.2500000000e+11	   1.0000000000e+00	   4.9500000000e+10	   2.2000000000e-01	   4.4000000000e+01	  -2.7198184491e-01	  -5.0966896566e-01	   0.0000000000e+00	
          39000	           3000	              0	         500000	 1	   8.3652810941e+00	   2.9333394190e+00	   1.2694620842e+00	   1.9368193526e+02	   4.7403507935e+00	   4.9764834149e+02	   2.2566959159e+01	   3.4952974909e+01	   2.2500000000e+11	   1.0000000000e+00	   4.9500000000e+10	   2.2000000000e-01	   4.5000000000e+01	  -2.7054809928e-01	  -3.6969191466e-01	   0.0000000000e+00	
          42000	           3000	              0	         500000	 1	   8.3705871835e+00	   2.9001971314e+00	   1.2546402144e+00	   1.9385237380e+02	   4.7402808412e+00	   4.9778679190e+02	   2.2566959383e+01	   3.5751054417e+01	   2.2500000000e+11	   1.0000000000e+00	   4.9500000000e+10	   2.2000000000e-01	   4.6000000000e+01	  -1.8875044800e-01	  -2.0990180684e-01	   0.0000000000e+00	
          45000	           3000	              0	         500000	 1	   8.3742890378e+00	   2.8773212073e+00	   1.2444096738e+00	   1.9397097921e+02	   4.7402401385e+00	   4.9788362555e+02	   2.2566959551e+01	   3.6318792253e+01	   2.2500000000e+11	   1.0000000000e+00	   4.9500000000e+10	   2.2000000000e-01	   4.7000000000e+01	  -7.7933236312e-02	  -1.5843325167e-01	   0.0000000000e+00	
          48000	           3000	              0	         500000	 1	   8.3783435665e+00	   2.8524973235e+00	   1.2333079969e+00	   1.9410022260e+02	   4.7401817332e+00	   4.9798943114e+02	   2.2566959708e+01	   3.6951099389e+01	   2.2500000000e+11	   1.0000000000e+00	   4.9500000000e+10	   2.2000000000e-01	   4.8000000000e+01	   5.8339827015e-03	  -1.4242062531e-01	   0.0000000000e+00	
          51000	           3000	              0	         500000	 1	   8.3738296818e+00	   2.8801558315e+00	   1.2456774301e+00	   1.9395473226e+02	   4.7401612915e+00	   4.9786964338e+02	   2.2566959377e+01	   3.6247580012e+01	   2.2500000000e+11	   1.0000000000e+00	   4.9500000000e+10	   2.2000000000e-01	   4.9000000000e+01	   7.0090233091e-02	  -1.3845151552e-01	   0.0000000000e+00	
          54000	           3000	              0	         500000	 1	   8.3677147120e+00	   2.9180981631e+00	   1.2626459960e+00	   1.9375767919e+02	   4.7401568747e+00	   4.9770865496e+02	   2.2566958966e+01	   3.5315586354e+01	   2.2500000000e+11	   1.0000000000e+00	   4.9500000000e+10	   2.2000000000e-01	   5.0000000000e+01	   1.2521012219e-01	  -1.3825021354e-01	   0.0000000000e+00	
          57000	           3000	              0	         500000	 1	   8.3621729734e+00	   2.9529622603e+00	   1.2782379342e+00	   1.9357868086e+02	   4.7401557803e+00	   4.9756346724e+02	   2.2566958594e+01	   3.4491446115e+01	   2.2500000000e+11	   1.0000000000e+00	   4.9500000000e+10	   2.2000000000e-01	   5.1000000000e+01	   1.7540946517e-01	  -1.3871909161e-01	   0.0000000000e+00	
          60000	           3000	              0	         500000	 1	   8.3576271061e+00	   2.9819055141e+00	   1.2911819657e+00	   1.9343150081e+02	   4.7401553802e+00	   4.9744481839e+02	   2.2566958288e+01	   3.3829648242e+01	   2.2500000000e+11	   1.0000000000e+00	   4.9500000000e+10	   2.2000000000e-01	   5.2000000000e+01	   2.2041752126e-01	  -1.3869890035e-01	   0.0000000000e+00	
